	Ovary_sex2	Uterus_sex2	Vagina_sex2	Brain_Spinal_cord_cervical_c_1_sex2	Brain_Substantia_nigra_sex2	Brain_Anterior_cingulate_cortex_BA24_sex2	Brain_Cortex_sex2	Brain_Frontal_Cortex_BA9_sex2	Brain_Nucleus_accumbens_basal_ganglia_sex2	Brain_Caudate_basal_ganglia_sex2	Brain_Putamen_basal_ganglia_sex2	Brain_Amygdala_sex2	Brain_Hippocampus_sex2	Brain_Hypothalamus_sex2	Brain_Cerebellar_Hemisphere_sex2	Brain_Cerebellum_sex2	Pituitary_sex2	Liver_sex2	Spleen_sex2	Whole_Blood_sex2	Esophagus_Mucosa_sex2	Skin_Not_Sun_Exposed_Suprapubic_sex2	Skin_Sun_Exposed_Lower_leg_sex2	Adrenal_Gland_sex2	Heart_Atrial_Appendage_sex2	Heart_Left_Ventricle_sex2	Kidney_Cortex_sex2	Muscle_Skeletal_sex2	Minor_Salivary_Gland_sex2	Pancreas_sex2	Nerve_Tibial_sex2	Adipose_Subcutaneous_sex2	Adipose_Visceral_Omentum_sex2	Breast_Mammary_Tissue_sex2	Artery_Aorta_sex2	Artery_Coronary_sex2	Artery_Tibial_sex2	Small_Intestine_Terminal_Ileum_sex2	Colon_Sigmoid_sex2	Colon_Transverse_sex2	Esophagus_Gastroesophageal_Junction_sex2	Esophagus_Muscularis_sex2	Lung_sex2	Stomach_sex2	Thyroid_sex2
ENST00000617298.1	-0.620632478	-0.620632478	-0.456866127	0.280082451	2.289369599	0.160407041	0.324173392	0.418653978	-0.072645073	0.103718689	0.387160449	0.286381157	0.947745265	1.407550788	-0.551346714	-0.545048008	0.494238448	0.217095393	-0.620632478	-0.620632478	-0.620632478	-0.620632478	-0.620632478	-0.551346714	-0.48206095	-0.488359656	-0.519853185	-0.381281657	-0.620632478	-0.620632478	-0.488359656	-0.532450596	-0.526151891	-0.620632478	4.216773572	2.88774665	0.513134565	-0.494658362	-0.419073892	-0.48206095	-0.500957067	-0.507255773	0.380861744	-0.55764542	-0.551346714
ENST00000400946.2	-0.01602572	3.610765873	-0.268080734	-0.32409296	-0.184062396	-0.275082262	-0.282083791	-0.310089903	-0.345097544	-0.275082262	-0.226071565	-0.317091431	-0.296086847	-0.338096016	-0.499131164	-0.499131164	-0.17005934	-0.499131164	-0.499131164	-0.499131164	-0.296086847	-0.303088375	0.06099109	-0.499131164	-0.345097544	-0.499131164	2.812591662	-0.317091431	-0.198065453	-0.394108241	1.454295196	-0.275082262	-0.184062396	0.018981921	-0.114047114	-0.380105185	4.037859092	-0.429115882	-0.415112826	-0.422114354	-0.072037945	0.145009428	-0.415112826	-0.499131164	0.039986505
ENST00000422961.5	0.960424355	1.375992585	0.173031918	-0.483128446	-0.745592591	-1.095544785	-1.029928749	-1.008056737	-1.018992743	-0.898696676	-0.822144634	-0.854952652	-0.931504694	-0.953376706	-1.226776858	-1.259584876	-0.647168537	-0.690912561	0.183967924	-0.844016646	-0.767464603	-0.614360518	-0.319088355	0.687024203	1.725944779	0.490176094	0.183967924	-0.089432227	-0.5815525	-0.83308064	1.649392737	0.369880027	0.030863839	-0.111304239	1.540032676	1.375992585	1.933728895	-0.187856282	2.61176127	0.566728136	1.124464446	1.386928591	0.129287894	-0.001944179	-0.483128446
ENST00000426023.1	1.060865987	-0.130969475	0.012050781	-0.58386695	-0.434887517	-0.506397645	-0.536193532	-0.577907773	-0.411050808	-0.375295744	-0.518316	-0.172683716	-0.345499858	-0.417009985	-0.691132142	-0.691132142	-0.458724227	-0.691132142	-0.589826127	-0.691132142	-0.160765361	-0.446805872	-0.422969163	-0.560030241	-0.262071375	2.640047973	-0.625581191	-0.512356822	0.166989391	-0.613662837	0.059724199	-0.297826439	-0.411050808	0.214662809	3.670985648	1.978579292	3.22404735	-0.279948907	0.292132114	-0.142887829	0.619886866	0.548376738	-0.375295744	-0.214397957	-0.33954068
ENST00000483525.1	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	6.559132734	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198	-0.149071198
ENST00000501541.1	2.400677437	0.316543406	-0.208796164	-0.639402369	-0.518832632	-0.639402369	-0.639402369	-0.639402369	-0.639402369	-0.639402369	-0.639402369	-0.639402369	-0.639402369	-0.544669004	-0.639402369	-0.639402369	-0.484384135	-0.510220508	-0.415487143	-0.639402369	-0.518832632	-0.406875018	-0.226020412	-0.312141653	-0.002105186	-0.406875018	-0.398262894	-0.492996259	-0.639402369	-0.449935639	-0.381038646	0.101240303	2.392065313	-0.260468909	2.874344262	2.176762211	3.210217102	0.161525172	0.161525172	0.264870661	0.428501019	0.006506938	0.066791807	0.686864742	-0.398262894
ENST00000511422.1	-0.22174202	1.84275265	1.039893612	-0.967253985	-0.164394946	0.523769944	0.064993351	0.46642287	0.294381647	-0.049700798	-0.967253985	-0.049700798	-0.164394946	0.523769944	0.695811167	0.237034573	-0.967253985	-0.967253985	-0.967253985	-0.967253985	-0.967253985	-0.967253985	-0.393783243	-0.967253985	-0.336436169	0.122340425	-0.967253985	-0.279089094	-0.967253985	-0.967253985	-0.967253985	0.523769944	-0.393783243	-0.336436169	4.193982692	1.900099724	1.785405576	0.179687499	-0.164394946	0.351728722	0.007646277	-0.22174202	0.46642287	0.294381647	-0.164394946
ENST00000522354.1	-0.160021823	-0.160021823	-0.160021823	-0.160021823	-0.160021823	-0.160021823	-0.160021823	-0.160021823	-0.160021823	-0.160021823	-0.160021823	-0.160021823	-0.160021823	-0.160021823	-0.160021823	-0.160021823	-0.160021823	-0.160021823	-0.160021823	-0.160021823	-0.160021823	-0.160021823	-0.160021823	-0.160021823	-0.160021823	-0.160021823	-0.160021823	-0.160021823	-0.160021823	-0.160021823	-0.160021823	-0.160021823	-0.160021823	-0.160021823	0.340046373	-0.160021823	6.540892001	-0.160021823	-0.160021823	-0.160021823	-0.160021823	-0.160021823	-0.160021823	-0.160021823	-0.160021823
ENST00000523871.1	-0.480474053	1.416134051	-0.480474053	-0.480474053	-0.480474053	-0.480474053	-0.480474053	-0.480474053	-0.480474053	-0.480474053	-0.480474053	-0.480474053	-0.480474053	-0.480474053	-0.480474053	-0.480474053	-0.480474053	-0.480474053	-0.480474053	-0.480474053	-0.480474053	-0.480474053	-0.480474053	-0.480474053	-0.480474053	-0.480474053	-0.480474053	2.364438104	-0.480474053	-0.480474053	-0.480474053	1.416134051	-0.480474053	-0.480474053	2.364438104	2.174777293	2.933420535	-0.480474053	-0.480474053	-0.480474053	1.605794862	1.416134051	1.605794862	-0.480474053	-0.480474053
ENST00000524295.5	1.239258413	0.269404003	0.075433121	0.94830209	0.851316649	0.075433121	0.075433121	-0.118537761	0.269404003	0.269404003	0.172418562	0.366389444	0.172418562	1.239258413	0.172418562	0.366389444	0.657345767	-1.088392172	-1.088392172	-1.088392172	-1.088392172	-1.088392172	-1.088392172	-1.088392172	-0.02155232	-1.088392172	0.560360326	0.754331208	-1.088392172	0.463374885	0.269404003	-1.088392172	-1.088392172	-1.088392172	1.045287531	1.627200177	3.566908998	-1.088392172	-1.088392172	-1.088392172	0.560360326	1.142272972	-1.088392172	0.172418562	0.172418562
