	kmeans	Group
ENST00000417039.5	2	Ovary
ENST00000440528.3	2	Ovary
ENST00000468141.2	2	Ovary
ENST00000423704.1	2	Ovary
ENST00000438482.1	2	Ovary
ENST00000445707.3	2	Ovary
ENST00000598992.5	2	Ovary
ENST00000599448.5	2	Ovary
ENST00000599771.6	2	Ovary
ENST00000600957.5	2	Ovary
ENST00000602455.1	2	Ovary
ENST00000618708.3	2	Ovary
ENST00000621248.1	2	Ovary
ENST00000625338.1	2	Ovary
ENST00000627767.1	2	Ovary
ENST00000628823.2	2	Ovary
ENST00000630830.1	2	Ovary
ENST00000634966.1	2	Ovary
ENST00000639539.1	2	Ovary
ENST00000515444.5	2	Ovary
ENST00000606125.1	2	Ovary
ENST00000616608.1	2	Ovary
ENST00000413645.1	2	Ovary
ENST00000438762.1	2	Ovary
ENST00000503989.1	2	Ovary
ENST00000542689.1	2	Ovary
ENST00000550268.2	2	Ovary
ENST00000556617.5	2	Ovary
ENST00000557625.1	2	Ovary
ENST00000559866.1	2	Ovary
ENST00000563569.1	2	Ovary
ENST00000598116.1	2	Ovary
ENST00000599409.5	2	Ovary
ENST00000602659.1	2	Ovary
ENST00000608890.1	2	Ovary
ENST00000608919.1	2	Ovary
ENST00000611343.1	2	Ovary
ENST00000618272.1	2	Ovary
ENST00000622888.1	2	Ovary
ENST00000627127.1	2	Ovary
ENST00000380981.3	22	Brain_Spinal_cord_cervical_c_1 
ENST00000426205.1	22	Brain_Spinal_cord_cervical_c_1 
ENST00000427045.5	22	Brain_Spinal_cord_cervical_c_1
ENST00000443992.1	22	Brain_Spinal_cord_cervical_c_1
ENST00000453135.1	22	Brain_Spinal_cord_cervical_c_1
ENST00000458615.5	22	Brain_Spinal_cord_cervical_c_1
ENST00000499966.1	22	Brain_Spinal_cord_cervical_c_1
ENST00000507870.1	22	Brain_Spinal_cord_cervical_c_1
ENST00000511385.1	22	Brain_Spinal_cord_cervical_c_1
ENST00000517505.1	22	Brain_Spinal_cord_cervical_c_1
ENST00000534055.1	22	Brain_Spinal_cord_cervical_c_1
ENST00000553932.5	22	Brain_Spinal_cord_cervical_c_1
ENST00000555985.5	22	Brain_Spinal_cord_cervical_c_1
ENST00000563810.1	22	Brain_Spinal_cord_cervical_c_1
ENST00000563922.1	22	Brain_Spinal_cord_cervical_c_1
ENST00000565259.1	22	Brain_Spinal_cord_cervical_c_1
ENST00000567574.1	22	Brain_Spinal_cord_cervical_c_1
ENST00000569621.1	22	Brain_Spinal_cord_cervical_c_1
ENST00000605918.1	22	Brain_Spinal_cord_cervical_c_1
ENST00000615826.1	22	Brain_Spinal_cord_cervical_c_1
ENST00000620513.1	22	Brain_Spinal_cord_cervical_c_1
ENST00000627044.1	22	Brain_Spinal_cord_cervical_c_1
ENST00000635954.1	22	Brain_Spinal_cord_cervical_c_1
ENST00000620193.1	16	Brain_Cortex
ENST00000414223.4	16	Brain_Cortex
ENST00000561761.2	16	Brain_Cortex
ENST00000341866.3	16	Brain_Cortex
ENST00000373171.2	16	Brain_Cortex
ENST00000380990.5	16	Brain_Cortex
ENST00000420701.5	16	Brain_Cortex
ENST00000422145.7	16	Brain_Cortex
ENST00000432711.1	16	Brain_Cortex
ENST00000434537.1	16	Brain_Cortex
ENST00000437900.1	16	Brain_Cortex
ENST00000439804.5	16	Brain_Cortex
ENST00000452834.5	16	Brain_Cortex
ENST00000455598.5	16	Brain_Cortex
ENST00000457339.5	16	Brain_Cortex
ENST00000504989.1	16	Brain_Cortex
ENST00000505018.1	16	Brain_Cortex
ENST00000509844.1	16	Brain_Cortex
ENST00000547963.1	16	Brain_Cortex
ENST00000564741.1	16	Brain_Cortex
ENST00000564762.1	16	Brain_Cortex
ENST00000566533.5	16	Brain_Cortex
ENST00000567096.1	16	Brain_Cortex
ENST00000567395.1	16	Brain_Cortex
ENST00000581648.1	16	Brain_Cortex
ENST00000585798.1	16	Brain_Cortex
ENST00000602396.1	16	Brain_Cortex
ENST00000606282.1	16	Brain_Cortex
ENST00000606424.1	16	Brain_Cortex
ENST00000607405.1	16	Brain_Cortex
ENST00000638774.1	16	Brain_Cortex
ENST00000601315.1	14	Brain_basal_ganglia
ENST00000434792.1	14	Brain_basal_ganglia
ENST00000436383.1	14	Brain_basal_ganglia
ENST00000440786.1	14	Brain_basal_ganglia
ENST00000554898.1	14	Brain_basal_ganglia
ENST00000622229.1	14	Brain_basal_ganglia
ENST00000561906.5	14	Brain_basal_ganglia
ENST00000413244.1	14	Brain_basal_ganglia
ENST00000413501.1	14	Brain_basal_ganglia
ENST00000419362.1	14	Brain_basal_ganglia
ENST00000425384.6	14	Brain_basal_ganglia
ENST00000428761.1	14	Brain_basal_ganglia
ENST00000435043.2	14	Brain_basal_ganglia
ENST00000439790.5	14	Brain_basal_ganglia
ENST00000499291.6	14	Brain_basal_ganglia
ENST00000542763.2	14	Brain_basal_ganglia
ENST00000557359.5	14	Brain_basal_ganglia
ENST00000565449.1	14	Brain_basal_ganglia
ENST00000606959.1	14	Brain_basal_ganglia
ENST00000610000.1	14	Brain_basal_ganglia
ENST00000634281.1	14	Brain_basal_ganglia
ENST00000635048.1	14	Brain_basal_ganglia
ENST00000441095.2	14	Brain_basal_ganglia
ENST00000609228.1	6	Brain
ENST00000455701.1	6	Brain
ENST00000550307.5	6	Brain
ENST00000626377.1	6	Brain
ENST00000637043.1	6	Brain
ENST00000429010.1	6	Brain
ENST00000434296.2	6	Brain
ENST00000520259.1	6	Brain
ENST00000604411.1	6	Brain
ENST00000617117.1	6	Brain
ENST00000619971.1	6	Brain
ENST00000630357.1	6	Brain
ENST00000305709.5	6	Brain
ENST00000401018.5	6	Brain
ENST00000422473.1	6	Brain
ENST00000425668.1	6	Brain
ENST00000426428.5	6	Brain
ENST00000435144.6	6	Brain
ENST00000435315.2	6	Brain
ENST00000436670.1	6	Brain
ENST00000441895.2	6	Brain
ENST00000452787.1	6	Brain
ENST00000468646.6	6	Brain
ENST00000490139.1	6	Brain
ENST00000505709.1	6	Brain
ENST00000506550.1	6	Brain
ENST00000520819.5	6	Brain
ENST00000521793.1	6	Brain
ENST00000526807.1	6	Brain
ENST00000545202.1	6	Brain
ENST00000554058.1	6	Brain
ENST00000554732.5	6	Brain
ENST00000562231.5	6	Brain
ENST00000562989.1	6	Brain
ENST00000564287.2	6	Brain
ENST00000564305.1	6	Brain
ENST00000578152.5	6	Brain
ENST00000579529.2	6	Brain
ENST00000585813.5	6	Brain
ENST00000586625.5	6	Brain
ENST00000589921.1	6	Brain
ENST00000590479.5	6	Brain
ENST00000603612.1	6	Brain
