	Ovary_sex2	Adrenal_Gland_sex2	Brain_Spinal_cord_cervical_c_1_sex2	Brain_Amygdala_sex2	Brain_Anterior_cingulate_cortex_BA24_sex2	Brain_Caudate_basal_ganglia_sex2	Brain_Cortex_sex2	Brain_Frontal_Cortex_BA9_sex2	Brain_Hippocampus_sex2	Brain_Hypothalamus_sex2	Brain_Nucleus_accumbens_basal_ganglia_sex2	Brain_Putamen_basal_ganglia_sex2	Brain_Substantia_nigra_sex2	Brain_Cerebellar_Hemisphere_sex2	Brain_Cerebellum_sex2	Pituitary_sex2	Kidney_Cortex_sex2	Liver_sex2	Thyroid_sex2	Spleen_sex2	Whole_Blood_sex2	Esophagus_Mucosa_sex2	Skin_Not_Sun_Exposed_Suprapubic_sex2	Skin_Sun_Exposed_Lower_leg_sex2	Heart_Atrial_Appendage_sex2	Heart_Left_Ventricle_sex2	Muscle_Skeletal_sex2	Lung_sex2	Nerve_Tibial_sex2	Pancreas_sex2	Minor_Salivary_Gland_sex2	Adipose_Visceral_Omentum_sex2	Adipose_Subcutaneous_sex2	Breast_Mammary_Tissue_sex2	Colon_Transverse_sex2	Small_Intestine_Terminal_Ileum_sex2	Stomach_sex2	Artery_Aorta_sex2	Artery_Tibial_sex2	Artery_Coronary_sex2	Colon_Sigmoid_sex2	Esophagus_Muscularis_sex2	Esophagus_Gastroesophageal_Junction_sex2	Uterus_sex2	Vagina_sex2
ENST00000217173.6	-1.021626358	0.131181595	-1.359518344	-0.127206395	0.091429596	0.290189588	0.787089568	0.329941586	-0.186834392	-0.504850379	0.72746157	0.369693585	-0.504850379	0.329941586	0.349817586	-0.286214388	-0.564478377	-1.379394344	-0.802990367	-0.763238369	2.079029515	-0.48497438	0.270313589	1.22436155	-1.419146342	-1.419146342	3.033077476	-1.280014348	0.091429596	-0.48497438	-0.822866366	-1.319766346	-0.624106374	-0.067578397	0.310065587	-0.266338389	0.071553597	-0.166958393	1.46287354	-0.226586391	1.661633532	1.442997541	1.602005534	0.508825579	-1.081254356
ENST00000219252.9	0.169288218	0.570478104	-0.52409777	-0.303791185	0.197116418	-0.092760667	0.54496892	0.820931905	-0.452208253	-0.0139141	-0.023190167	-0.333938402	-0.347852502	0.310748235	0.215668551	1.018048323	0.470760386	0.106674767	-1.04123849	-1.409962142	1.198931624	-0.969348973	-0.918330606	-0.377999719	-0.102036734	0.762956488	4.872254047	-0.435975136	-0.55888302	-0.491631536	-0.98558209	-0.730490255	-0.452208253	-0.688747954	-0.602944337	-0.929925689	-0.329300369	0.987901106	1.725348411	0.46148432	-0.150736084	-0.051018367	0.241177735	-0.354809552	-1.001815206
ENST00000245046.6	-0.889669617	0.074919911	-0.217568527	-0.069768518	0.087366227	-0.021539042	-0.02931799	0.258503079	-0.198899052	-0.093105362	0.081143069	-0.010648515	0.121593597	-0.762094873	-0.822770666	-0.864776984	-0.450936961	0.048471488	-0.38092643	-0.80721277	2.649751632	0.160488336	-0.20512221	0.011132539	0.647450469	1.048844175	5.317930728	-0.506945385	-0.740313819	-0.503833806	-0.061989571	0.39541256	0.42963993	-0.20512221	-0.295358005	-0.576955915	-0.152225365	-0.388705378	-0.141334838	-0.231570633	-0.331141165	-0.0277622	-0.032429569	-0.760539083	-0.552063282
ENST00000253815.3	-0.597018138	-0.428168735	-0.602646452	-0.495708496	-0.48069966	-0.550115526	-0.784628587	-0.608274765	-0.687071154	-0.848416139	-0.822150677	-0.732097661	-0.415036003	-1.533194277	-1.52193765	-0.994752289	-0.0792133	-0.685195049	-0.732097661	0.0464857	2.704925756	0.515511821	0.059618431	0.260361611	0.545529493	1.245316466	4.113880224	0.267866029	-0.416912108	-0.44692978	-0.407531585	0.290379283	0.241600566	-0.193655674	0.384184507	-0.073584987	0.02960076	0.560538329	1.384148198	0.646839135	0.575547165	0.926378704	0.858838942	-0.298717525	-0.221797241
ENST00000309352.3	-0.73558392	0.721088256	-0.528096957	-0.076173296	0.136998242	-0.204076219	0.14410396	0.249268585	-0.289344834	-0.138703614	-0.106017312	-0.084700158	-0.087542445	-0.724214772	-0.793850807	-0.737005064	0.007674175	1.391868028	-0.664526741	-0.567888977	-1.116450401	0.257795447	-0.189864783	-0.02216984	0.502232143	2.125178119	5.420810095	-0.727057059	-0.528096957	-0.266606537	-0.428616906	-0.115965317	-0.437143767	-0.441407198	0.172526831	-0.381719167	0.065941062	-0.350454008	-0.076173296	-0.309240844	0.343064062	0.21942457	0.226530288	-0.304977414	-0.550835254
ENST00000309889.2	-0.256255454	-0.256988683	-0.251086188	-0.253249214	-0.25189274	-0.243387281	-0.248703193	-0.252515985	-0.252955922	-0.250352959	-0.244670433	-0.245000386	-0.246210214	-0.24712675	-0.24459711	-0.251196172	-0.256182131	-0.258345157	-0.253469183	-0.256842037	-0.245586969	-0.258638449	-0.258271834	-0.253432521	1.988049102	3.713154071	4.858018122	-0.253469183	-0.254752334	-0.259628308	-0.189898212	-0.258051865	-0.256805376	-0.255742193	-0.258308495	-0.257868558	-0.257611928	-0.25339586	-0.253799136	-0.233012088	-0.256952021	-0.252076047	-0.256805376	-0.256878699	-0.257208652
ENST00000310118.8	-0.596350776	0.667188184	-0.381391866	-0.423335068	-0.0537106	-0.365663165	0.014447103	0.150762509	-0.431199418	-0.216240508	-0.315855613	-0.423335068	-0.129732654	-0.158568605	-0.197890357	-0.446928119	-0.575379175	-0.242455009	-0.428577968	-0.355177365	-0.47052117	0.418150422	0.106197857	0.58330178	-0.106139603	0.517765527	6.245634048	-0.268669511	-0.373527515	-0.751016333	0.056390305	-0.195268907	0.024932903	-0.334205764	-0.114003953	-0.25294081	-0.116625403	-0.082546552	0.218920213	-0.066817851	-0.035360449	0.184841361	0.079983356	-0.145461355	-0.213619058
ENST00000312087.10	-0.6986205	-0.6986205	0.595121166	1.500740333	0.724495333	0.8538695	0.983243666	-0.6986205	1.371366166	-0.6986205	0.8538695	2.018236999	0.724495333	0.595121166	-0.6986205	-0.6986205	-0.6986205	0.983243666	-0.6986205	-0.6986205	-0.6986205	-0.6986205	-0.6986205	-0.6986205	-0.6986205	-0.6986205	3.441352832	-0.6986205	-0.6986205	-0.6986205	-0.6986205	-0.6986205	-0.6986205	-0.6986205	0.724495333	-0.6986205	-0.6986205	-0.6986205	0.983243666	-0.6986205	0.724495333	1.371366166	1.112617833	-0.6986205	-0.6986205
ENST00000314032.8	-0.171070117	-0.151236813	-0.151945146	-0.154778475	-0.158320136	-0.146278487	-0.134945171	-0.149820149	-0.14415349	-0.148403484	-0.144861823	-0.146278487	-0.156195139	-0.073320262	-0.062695278	-0.121486857	-0.152653478	-0.167528456	-0.11936186	-0.118653528	-0.138486832	-0.175320111	-0.164695127	-0.165403459	-0.158320136	-0.135653503	6.55737826	-0.159028468	-0.148403484	-0.173903446	-0.11298687	-0.164695127	-0.168236788	-0.168236788	-0.161153465	-0.152653478	-0.163986794	-0.170361785	-0.154070142	-0.16257013	-0.151236813	-0.145570155	-0.151236813	-0.161861798	-0.175320111
ENST00000314400.9	0.10605513	-0.100248077	0.945021505	-0.416579661	-0.99422864	-0.499100944	-1.159271206	-0.567868679	-0.842939622	-0.719157698	-0.416579661	-0.595375774	-0.251537095	-1.269299583	-1.750673732	0.58742928	-0.499100944	-1.448095696	0.216083507	-0.27904419	-1.200531847	-0.567868679	0.078548036	0.601182827	-0.581622226	-0.141508718	3.998308968	-0.774171886	0.408633167	0.601182827	0.49115445	-0.347811925	0.614936374	0.051040942	-0.100248077	-0.292797737	0.092301583	0.518661544	2.471665236	0.58742928	1.110064071	0.986282146	0.821239581	0.766225392	-0.237783548
