	Group	kmeans	Type
ENST00000262816.11	Ovary	1	Ovary
ENST00000317040.11	Ovary	1	Ovary
ENST00000326597.6	Ovary	1	Ovary
ENST00000332772.4	Ovary	1	Ovary
ENST00000334289.7	Ovary	1	Ovary
ENST00000340881.2	Ovary	1	Ovary
ENST00000380520.5	Ovary	1	Ovary
ENST00000381486.6	Ovary	1	Ovary
ENST00000383827.5	Ovary	1	Ovary
ENST00000390649.7	Ovary	1	Ovary
ENST00000394905.2	Ovary	1	Ovary
ENST00000397202.6	Ovary	1	Ovary
ENST00000422514.6	Ovary	1	Ovary
ENST00000432094.6	Ovary	1	Ovary
ENST00000432997.5	Ovary	1	Ovary
ENST00000463973.5	Ovary	1	Ovary
ENST00000465247.1	Ovary	1	Ovary
ENST00000470563.5	Ovary	1	Ovary
ENST00000470973.1	Ovary	1	Ovary
ENST00000472388.1	Ovary	1	Ovary
ENST00000472953.1	Ovary	1	Ovary
ENST00000473248.1	Ovary	1	Ovary
ENST00000474653.5	Ovary	1	Ovary
ENST00000478903.5	Ovary	1	Ovary
ENST00000479145.1	Ovary	1	Ovary
ENST00000479944.5	Ovary	1	Ovary
ENST00000479966.1	Ovary	1	Ovary
ENST00000481501.1	Ovary	1	Ovary
ENST00000481520.1	Ovary	1	Ovary
ENST00000483983.5	Ovary	1	Ovary
ENST00000485055.5	Ovary	1	Ovary
ENST00000486462.1	Ovary	1	Ovary
ENST00000493841.1	Ovary	1	Ovary
ENST00000495596.5	Ovary	1	Ovary
ENST00000495817.1	Ovary	1	Ovary
ENST00000497231.7	Ovary	1	Ovary
ENST00000497386.5	Ovary	1	Ovary
ENST00000501740.6	Ovary	1	Ovary
ENST00000503595.1	Ovary	1	Ovary
ENST00000503865.1	Ovary	1	Ovary
ENST00000504949.1	Ovary	1	Ovary
ENST00000510269.5	Ovary	1	Ovary
ENST00000511687.1	Ovary	1	Ovary
ENST00000513120.2	Ovary	1	Ovary
ENST00000513719.1	Ovary	1	Ovary
ENST00000515814.1	Ovary	1	Ovary
ENST00000517769.5	Ovary	1	Ovary
ENST00000517958.1	Ovary	1	Ovary
ENST00000520027.5	Ovary	1	Ovary
ENST00000522968.1	Ovary	1	Ovary
ENST00000525443.1	Ovary	1	Ovary
ENST00000526021.1	Ovary	1	Ovary
ENST00000527537.5	Ovary	1	Ovary
ENST00000529347.1	Ovary	1	Ovary
ENST00000529434.1	Ovary	1	Ovary
ENST00000529726.1	Ovary	1	Ovary
ENST00000531805.5	Ovary	1	Ovary
ENST00000533207.5	Ovary	1	Ovary
ENST00000544507.1	Ovary	1	Ovary
ENST00000548211.1	Ovary	1	Ovary
ENST00000549069.5	Ovary	1	Ovary
ENST00000549630.1	Ovary	1	Ovary
ENST00000551354.1	Ovary	1	Ovary
ENST00000551654.1	Ovary	1	Ovary
ENST00000552565.5	Ovary	1	Ovary
ENST00000561795.5	Ovary	1	Ovary
ENST00000562289.1	Ovary	1	Ovary
ENST00000567387.5	Ovary	1	Ovary
ENST00000574792.1	Ovary	1	Ovary
ENST00000577549.1	Ovary	1	Ovary
ENST00000578277.1	Ovary	1	Ovary
ENST00000578576.1	Ovary	1	Ovary
ENST00000579649.5	Ovary	1	Ovary
ENST00000584583.1	Ovary	1	Ovary
ENST00000588738.5	Ovary	1	Ovary
ENST00000597169.1	Ovary	1	Ovary
ENST00000599534.5	Ovary	1	Ovary
ENST00000606927.1	Ovary	1	Ovary
ENST00000611541.1	Ovary	1	Ovary
ENST00000611835.4	Ovary	1	Ovary
ENST00000614721.1	Ovary	1	Ovary
ENST00000616306.1	Ovary	1	Ovary
ENST00000616492.4	Ovary	1	Ovary
ENST00000616722.3	Ovary	1	Ovary
ENST00000620074.4	Ovary	1	Ovary
ENST00000620706.1	Ovary	1	Ovary
ENST00000624726.1	Ovary	1	Ovary
ENST00000636709.1	Ovary	1	Ovary
ENST00000638010.1	Ovary	1	Ovary
ENST00000479070.5	Adrenal_Gland	2	Adrenal_Gland
ENST00000493493.1	Adrenal_Gland	2	Adrenal_Gland
ENST00000497229.1	Adrenal_Gland	2	Adrenal_Gland
ENST00000461944.1	Adrenal_Gland	2	Adrenal_Gland
ENST00000468078.1	Adrenal_Gland	2	Adrenal_Gland
ENST00000578916.2	Adrenal_Gland	2	Adrenal_Gland
ENST00000639212.1	Adrenal_Gland	2	Adrenal_Gland
ENST00000639867.1	Adrenal_Gland	2	Adrenal_Gland
ENST00000459953.1	Adrenal_Gland	2	Adrenal_Gland
ENST00000371922.1	Adrenal_Gland	2	Adrenal_Gland
ENST00000466284.1	Adrenal_Gland	2	Adrenal_Gland
ENST00000482001.1	Adrenal_Gland	2	Adrenal_Gland
ENST00000484855.2	Adrenal_Gland	2	Adrenal_Gland
ENST00000585848.1	Adrenal_Gland	2	Adrenal_Gland
ENST00000599908.1	Adrenal_Gland	2	Adrenal_Gland
ENST00000276449.8	Adrenal_Gland	2	Adrenal_Gland
ENST00000337656.8	Adrenal_Gland	2	Adrenal_Gland
ENST00000374301.7	Adrenal_Gland	2	Adrenal_Gland
ENST00000374734.7	Adrenal_Gland	2	Adrenal_Gland
ENST00000388854.7	Adrenal_Gland	2	Adrenal_Gland
ENST00000395347.1	Adrenal_Gland	2	Adrenal_Gland
ENST00000397736.6	Adrenal_Gland	2	Adrenal_Gland
ENST00000406384.5	Adrenal_Gland	2	Adrenal_Gland
ENST00000409102.5	Adrenal_Gland	2	Adrenal_Gland
ENST00000409158.5	Adrenal_Gland	2	Adrenal_Gland
ENST00000464008.6	Adrenal_Gland	2	Adrenal_Gland
ENST00000467959.1	Adrenal_Gland	2	Adrenal_Gland
ENST00000471872.1	Adrenal_Gland	2	Adrenal_Gland
ENST00000476552.1	Adrenal_Gland	2	Adrenal_Gland
ENST00000478794.5	Adrenal_Gland	2	Adrenal_Gland
ENST00000486391.2	Adrenal_Gland	2	Adrenal_Gland
ENST00000498373.1	Adrenal_Gland	2	Adrenal_Gland
ENST00000512195.5	Adrenal_Gland	2	Adrenal_Gland
ENST00000518578.5	Adrenal_Gland	2	Adrenal_Gland
ENST00000531282.1	Adrenal_Gland	2	Adrenal_Gland
ENST00000536452.1	Adrenal_Gland	2	Adrenal_Gland
ENST00000537364.5	Adrenal_Gland	2	Adrenal_Gland
ENST00000557598.1	Adrenal_Gland	2	Adrenal_Gland
ENST00000581969.5	Adrenal_Gland	2	Adrenal_Gland
ENST00000584995.5	Adrenal_Gland	2	Adrenal_Gland
ENST00000585682.5	Adrenal_Gland	2	Adrenal_Gland
ENST00000592057.1	Adrenal_Gland	2	Adrenal_Gland
ENST00000607413.5	Adrenal_Gland	2	Adrenal_Gland
ENST00000609189.1	Adrenal_Gland	2	Adrenal_Gland
ENST00000639821.1	Adrenal_Gland	2	Adrenal_Gland
ENST00000640256.1	Adrenal_Gland	2	Adrenal_Gland
ENST00000371924.5	Adrenal_Gland	2	Adrenal_Gland
ENST00000282869.10	Adrenal_Gland	2	Adrenal_Gland
ENST00000507400.1	Adrenal_Gland	2	Adrenal_Gland
ENST00000539833.5	Adrenal_Gland	2	Adrenal_Gland
ENST00000589419.1	Adrenal_Gland	2	Adrenal_Gland
ENST00000238379.9	Adrenal_Gland	2	Adrenal_Gland
ENST00000339024.8	Adrenal_Gland	2	Adrenal_Gland
ENST00000381787.2	Adrenal_Gland	2	Adrenal_Gland
ENST00000395751.8	Adrenal_Gland	2	Adrenal_Gland
ENST00000422281.6	Adrenal_Gland	2	Adrenal_Gland
ENST00000422892.2	Adrenal_Gland	2	Adrenal_Gland
ENST00000491249.1	Adrenal_Gland	2	Adrenal_Gland
ENST00000609021.1	Adrenal_Gland	2	Adrenal_Gland
ENST00000207636.9	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000345941.2	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000532461.5	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000538446.5	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000538941.6	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000539361.1	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000540475.5	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000540757.6	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000544468.1	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000546978.1	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000549724.1	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000550782.5	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000355819.5	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000551551.1	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000553131.5	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000557872.1	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000558386.5	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000558828.5	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000558881.1	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000560817.5	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000564054.1	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000565173.1	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000565951.1	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000356858.7	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000566910.1	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000568230.5	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000569136.5	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000569301.1	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000574988.1	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000582461.1	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000582809.5	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000583437.2	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000584004.5	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000586770.5	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000358906.3	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000587223.1	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000587862.5	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000587891.5	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000590926.1	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
ENST00000591247.5	Brain_Spinal_cord_cervical_c_1	3	Brain_Spinal_cord_cervical_c_1
