	Testis_sex1	Prostate_sex1	Brain_Spinal_cord_cervical_c_1_sex1	Brain_Substantia_nigra_sex1	Brain_Anterior_cingulate_cortex_BA24_sex1	Brain_Cortex_sex1	Brain_Frontal_Cortex_BA9_sex1	Brain_Nucleus_accumbens_basal_ganglia_sex1	Brain_Caudate_basal_ganglia_sex1	Brain_Putamen_basal_ganglia_sex1	Brain_Amygdala_sex1	Brain_Hippocampus_sex1	Brain_Hypothalamus_sex1	Brain_Cerebellar_Hemisphere_sex1	Brain_Cerebellum_sex1	Pituitary_sex1	Liver_sex1	Spleen_sex1	Whole_Blood_sex1	Esophagus_Mucosa_sex1	Skin_Not_Sun_Exposed_Suprapubic_sex1	Skin_Sun_Exposed_Lower_leg_sex1	Adrenal_Gland_sex1	Heart_Atrial_Appendage_sex1	Heart_Left_Ventricle_sex1	Kidney_Cortex_sex1	Muscle_Skeletal_sex1	Minor_Salivary_Gland_sex1	Pancreas_sex1	Nerve_Tibial_sex1	Adipose_Subcutaneous_sex1	Adipose_Visceral_Omentum_sex1	Breast_Mammary_Tissue_sex1	Artery_Aorta_sex1	Artery_Coronary_sex1	Artery_Tibial_sex1	Small_Intestine_Terminal_Ileum_sex1	Colon_Sigmoid_sex1	Colon_Transverse_sex1	Esophagus_Gastroesophageal_Junction_sex1	Esophagus_Muscularis_sex1	Lung_sex1	Stomach_sex1	Thyroid_sex1
ENST00000422473.1	-0.242355455	-0.524369075	2.542529046	2.17238617	0.762318068	1.044331688	0.568433704	0.850447324	1.573107226	1.855120847	1.555481375	2.049005211	1.061957539	-0.242355455	-0.03084524	-0.365736414	-0.718253439	-0.718253439	-0.718253439	-0.45386567	-0.45386567	-0.471491522	-0.524369075	-0.718253439	-0.718253439	1.960875954	-0.718253439	-0.17185205	-0.207103752	-0.154226199	-0.718253439	-0.718253439	-0.718253439	-0.718253439	-0.718253439	-0.718253439	-0.718253439	-0.718253439	-0.718253439	-0.718253439	-0.718253439	-0.718253439	-0.718253439	-0.506743224
ENST00000425668.1	-0.524682629	-0.524682629	1.823049814	2.887355188	0.586577394	0.492668096	0.711789791	0.649183592	0.946563035	2.010868409	2.887355188	2.527369547	1.228290928	-0.242954736	-0.242954736	-0.524682629	-0.524682629	-0.524682629	-0.524682629	-0.524682629	-0.524682629	-0.524682629	-0.524682629	-0.524682629	-0.524682629	-0.524682629	-0.524682629	-0.524682629	-0.524682629	-0.524682629	-0.524682629	-0.524682629	-0.524682629	-0.524682629	-0.524682629	-0.524682629	-0.524682629	-0.524682629	-0.524682629	-0.524682629	-0.524682629	-0.524682629	-0.524682629	-0.524682629
ENST00000435144.6	1.445540031	-0.538534521	3.316238894	2.069106318	0.2550953	0.992037276	0.425158833	0.595222366	1.275476498	2.012418474	1.615603564	2.409233384	0.821973743	-0.538534521	-0.538534521	-0.538534521	-0.538534521	-0.538534521	-0.538534521	-0.538534521	-0.538534521	-0.538534521	-0.538534521	-0.538534521	-0.538534521	-0.538534521	-0.538534521	-0.538534521	-0.538534521	-0.538534521	-0.538534521	-0.538534521	-0.538534521	-0.538534521	-0.538534521	-0.538534521	-0.538534521	-0.538534521	-0.538534521	-0.538534521	-0.538534521	-0.538534521	-0.538534521	-0.538534521
ENST00000436383.1	0.463827832	-0.642047393	0.564361944	1.469168947	-0.642047393	-0.642047393	-0.642047393	0.966498389	2.876646507	2.273441838	1.368634835	1.770771281	0.966498389	-0.642047393	-0.642047393	0.865964278	-0.642047393	-0.642047393	-0.642047393	2.172907727	-0.642047393	-0.642047393	-0.642047393	-0.642047393	-0.642047393	1.167566612	0.966498389	0.363293721	-0.642047393	-0.642047393	-0.642047393	0.363293721	-0.642047393	-0.642047393	-0.642047393	-0.642047393	-0.642047393	-0.642047393	-0.642047393	-0.642047393	-0.642047393	-0.642047393	-0.642047393	-0.642047393
ENST00000436670.1	1.941981535	-0.655197418	1.292686797	1.422545745	0.903109954	0.643392059	0.643392059	1.941981535	1.422545745	1.422545745	1.812122588	1.292686797	1.812122588	-0.655197418	-0.655197418	-0.655197418	-0.655197418	-0.655197418	-0.655197418	-0.655197418	-0.655197418	-0.655197418	-0.655197418	-0.655197418	-0.655197418	-0.655197418	-0.655197418	-0.655197418	-0.655197418	1.292686797	-0.655197418	-0.655197418	-0.655197418	-0.655197418	-0.655197418	-0.655197418	-0.655197418	-0.655197418	1.812122588	-0.655197418	-0.655197418	-0.655197418	-0.655197418	-0.655197418
ENST00000452787.1	-0.254061888	-0.501447184	1.632250995	1.632250995	0.070631313	0.287093447	0.271631866	1.060172498	2.529022693	3.255717001	1.771405224	2.730023246	0.905556688	-0.501447184	-0.346831374	-0.501447184	-0.501447184	-0.501447184	-0.501447184	-0.501447184	-0.501447184	-0.501447184	-0.501447184	-0.501447184	-0.501447184	-0.501447184	-0.501447184	-0.501447184	-0.501447184	-0.501447184	-0.501447184	-0.501447184	-0.501447184	-0.501447184	-0.501447184	-0.501447184	-0.501447184	-0.501447184	-0.501447184	-0.501447184	-0.501447184	-0.501447184	-0.501447184	-0.501447184
ENST00000490139.1	-0.729320194	-0.729320194	2.503636488	2.084549511	1.186505988	0.947027715	1.006897283	1.485853829	1.246375556	1.246375556	1.605592965	1.425984261	1.725332102	1.006897283	1.006897283	0.228592897	-0.729320194	0.46807117	-0.729320194	-0.729320194	-0.729320194	-0.729320194	-0.729320194	-0.729320194	-0.729320194	-0.130624512	-0.130624512	-0.729320194	-0.729320194	0.048984192	-0.729320194	-0.729320194	-0.729320194	-0.729320194	-0.729320194	-0.729320194	-0.729320194	-0.729320194	-0.729320194	-0.729320194	-0.729320194	-0.729320194	-0.729320194	-0.729320194
ENST00000505709.1	-0.731331854	-0.553745753	3.140045156	1.719356345	1.328666922	0.849184448	1.257632482	1.470735803	1.577287464	1.452977193	1.06228777	1.08004638	1.772632176	0.476253636	0.014529772	-0.127539109	-0.092021889	-0.873400735	-0.642538803	-1.050986836	-0.642538803	-0.660297413	-0.411676871	-0.393918261	-0.979952396	-0.607021583	-1.210814328	-0.713573244	-0.944435176	-0.127539109	-0.322883821	0.636081127	-0.376159651	-0.802366294	-0.553745753	-0.660297413	-0.820124905	-0.500469922	-0.18081494	-0.607021583	-0.713573244	0.014529772	-0.979952396	-0.571504363
ENST00000545202.1	-0.533524948	-0.533524948	1.365912419	3.265349786	1.17109833	0.684063108	0.781470152	1.463319464	1.560726508	1.560726508	2.48609343	1.852947641	1.414615941	-0.533524948	-0.533524948	-0.533524948	-0.533524948	-0.533524948	-0.533524948	-0.533524948	-0.533524948	-0.533524948	-0.533524948	-0.533524948	-0.533524948	-0.533524948	-0.533524948	-0.533524948	-0.533524948	-0.533524948	-0.533524948	-0.533524948	-0.533524948	-0.533524948	-0.533524948	-0.533524948	-0.533524948	-0.533524948	-0.533524948	-0.533524948	-0.533524948	-0.533524948	-0.533524948	-0.533524948
ENST00000562989.1	-0.516570622	-0.516570622	2.060058747	3.018515082	0.28006841	0.665940441	0.304963379	0.79041529	1.624396776	2.483273233	1.723976655	2.669985506	1.014470017	-0.354753319	-0.267620925	-0.516570622	-0.516570622	-0.516570622	-0.516570622	-0.516570622	-0.516570622	-0.516570622	-0.516570622	-0.516570622	-0.516570622	-0.516570622	-0.516570622	-0.516570622	-0.516570622	-0.516570622	-0.516570622	-0.516570622	-0.516570622	-0.516570622	-0.516570622	-0.516570622	-0.516570622	-0.516570622	-0.516570622	-0.516570622	-0.516570622	-0.516570622	-0.516570622	-0.516570622
ENST00000564287.2	1.758701737	-0.257926063	2.495813967	1.967318406	0.520909501	0.089768385	0.117583941	1.591808401	1.452730622	1.995133961	1.355376177	1.591808401	1.411007288	0.25666172	0.117583941	-0.007586061	-0.675159401	-0.14666384	-0.772513847	-1.064577184	-0.702974957	-0.800329403	-1.064577184	-0.828144959	-0.772513847	0.409647277	-0.744698291	-0.61952829	-0.814237181	-0.14666384	-0.61952829	-0.5499894	-0.285741619	-0.88377607	-0.814237181	-1.036761628	-0.605620512	-0.605620512	-0.438727177	-0.675159401	-0.675159401	-0.494358288	-0.869868292	0.840788393
ENST00000564305.1	0.281326344	-0.641621486	0.932818929	2.398677246	0.0098711	0.498490539	0.281326344	0.607072636	2.127222002	3.321625076	1.584311514	1.747184661	1.095692075	-0.641621486	-0.641621486	-0.641621486	0.87852788	-0.641621486	-0.641621486	-0.641621486	-0.641621486	-0.641621486	-0.098710998	-0.641621486	0.389908441	-0.641621486	-0.641621486	-0.641621486	0.172744246	-0.641621486	-0.641621486	-0.641621486	-0.641621486	-0.641621486	-0.641621486	-0.641621486	1.095692075	-0.641621486	-0.641621486	-0.641621486	-0.641621486	-0.641621486	-0.641621486	-0.641621486
ENST00000603612.1	-0.227518492	-0.227518492	2.414224002	2.066626305	0.60671598	0.259118283	0.259118283	1.684268839	1.232391833	1.406190682	1.57998953	1.719028609	1.510469991	-0.366557571	-0.401317341	2.066626305	0.120079204	-0.47083688	-0.818434577	-0.818434577	-0.818434577	-0.818434577	0.502436671	-0.297038032	0.050559665	0.328637822	-0.818434577	-0.818434577	0.154838974	-0.47083688	-0.818434577	-0.818434577	-0.818434577	-0.818434577	-0.818434577	-0.818434577	-0.818434577	-0.818434577	-0.818434577	-0.818434577	-0.818434577	-0.818434577	-0.818434577	0.050559665
ENST00000607607.5	0.861414003	0.498133976	2.556720795	1.587974057	0.740320661	0.861414003	0.740320661	0.619227318	0.982507345	0.740320661	1.587974057	1.830160741	1.22469403	-0.833892789	-0.833892789	1.345787372	0.377040634	-0.833892789	-0.833892789	-0.833892789	-0.833892789	-0.833892789	-0.833892789	-0.833892789	-0.833892789	0.377040634	1.466880714	-0.833892789	0.619227318	0.377040634	-0.833892789	-0.833892789	-0.833892789	-0.833892789	-0.833892789	-0.833892789	-0.833892789	-0.833892789	-0.833892789	-0.833892789	-0.833892789	-0.833892789	-0.833892789	0.619227318
ENST00000607727.1	-0.649023426	-0.560060714	2.108820665	1.708488458	1.575044389	1.44160032	1.975376596	1.263674895	0.507491838	0.907824045	1.219193539	2.064339309	1.308156251	-0.026284438	-0.070765794	-0.070765794	-1.494169196	-1.004874277	-1.494169196	-1.494169196	-0.60454207	-0.382135288	-0.60454207	-0.382135288	-0.782467495	-0.337653932	-0.60454207	-0.826948851	-0.782467495	1.486081677	-0.070765794	-0.693504782	-0.293172576	-0.293172576	-0.515579357	-0.204209863	-0.737986139	-0.070765794	-0.515579357	-0.026284438	-0.11524715	-0.515579357	-0.649023426	-0.693504782
ENST00000607781.1	1.09349798	-0.22887167	1.95812429	1.652962063	1.144358352	-0.025430186	0.534033897	1.398660207	0.839196124	1.09349798	1.856403548	2.110705404	1.296939465	-0.127150928	-0.330592413	2.314146889	-0.381452784	-0.381452784	-0.991777238	-0.788335753	-0.686615011	-0.63575464	-0.076290557	-1.042637609	-0.991777238	0.178011299	-0.991777238	-0.381452784	-0.279732041	0.63575464	-0.686615011	-0.839196124	-0.534033897	-0.788335753	-0.686615011	-0.788335753	-0.686615011	-0.991777238	-0.788335753	-0.788335753	-0.839196124	-1.042637609	-0.63575464	0.330592413
ENST00000608214.1	-0.366662638	-0.54202303	2.54431987	3.00025689	0.931004263	0.071738342	0.492603283	1.4395494	1.772734145	1.211580891	2.193599086	1.369405244	2.018238694	-0.261446403	-0.54202303	-0.33159056	-0.54202303	-0.54202303	-0.54202303	-0.54202303	-0.54202303	-0.54202303	-0.54202303	-0.54202303	-0.54202303	-0.54202303	-0.54202303	-0.366662638	-0.54202303	-0.54202303	-0.54202303	-0.54202303	-0.54202303	-0.54202303	-0.54202303	-0.54202303	-0.54202303	-0.54202303	-0.54202303	-0.54202303	-0.54202303	-0.54202303	-0.54202303	-0.54202303
ENST00000608396.1	-0.616206931	-0.395897306	3.17912706	2.763542995	0.720671929	0.465313045	0.530404525	0.93096748	0.950995627	1.196340437	2.002473382	2.242811155	1.742107462	-0.150552497	-0.105489164	-0.385883232	-0.445967675	-0.566136562	-0.616206931	-0.561129525	-0.616206931	-0.561129525	-0.551115451	-0.476009897	-0.556122488	-0.556122488	-0.616206931	-0.486023971	-0.616206931	-0.270721383	-0.556122488	-0.546108414	-0.546108414	-0.566136562	-0.546108414	-0.616206931	-0.541101377	-0.476009897	-0.511059155	-0.491031008	-0.501045082	-0.561129525	-0.556122488	-0.561129525
ENST00000609619.1	0.633699523	-0.643948033	1.084633955	2.475015119	0.370654438	-0.080279994	0.25792083	1.798613472	1.535568387	1.723457733	0.220342961	0.934322478	2.700482335	-1.170038203	-1.170038203	1.948924949	-0.681525902	-0.117857863	-1.170038203	-0.155435732	-1.170038203	-1.170038203	0.859166739	-0.155435732	-0.531214425	-0.456058687	-0.756681641	-1.170038203	-0.756681641	-0.531214425	-0.380902948	0.070031484	-0.418480817	-0.418480817	-0.343325079	-0.681525902	-0.230591471	0.032453614	-0.26816934	-0.380902948	-0.305747209	-0.756681641	0.220342961	-0.79425951
ENST00000612462.1	0.740211952	-0.447536977	1.89670433	2.178013287	1.146547112	1.740421576	1.834191229	1.302829866	1.334086416	1.552882272	1.677908475	1.177803663	1.08403401	-0.385023875	-0.197484571	-0.228741121	-1.072667992	-0.853872137	-2.135390718	-0.57256318	-0.603819731	-0.510050078	-0.385023875	-0.103714918	-0.57256318	0.24010714	-0.416280426	-0.478793528	-0.103714918	-0.666332832	-0.353767324	-0.947641789	-0.541306629	-0.697589383	-0.478793528	-0.16622802	-0.510050078	-0.57256318	-0.666332832	-0.791359035	-0.728845934	-1.228950746	-0.353767324	-0.134971469
ENST00000621929.1	-0.063547334	-0.454998911	2.984182804	2.452927092	0.803238302	0.411786724	0.691394994	0.887120782	1.054885744	1.64206311	1.670023937	1.753906418	1.530219802	0.188100109	-0.063547334	0.299943416	0.188100109	-0.790528835	-1.629353643	-1.098097931	-0.846450489	-0.622763873	-0.762568008	-0.28723395	-0.427038084	-0.538881392	-0.399077257	-0.678685527	-0.6507247	0.411786724	-0.566842219	-1.01421545	-0.678685527	-0.091508161	-0.231312296	-0.091508161	-0.762568008	-0.454998911	-0.734607181	-0.538881392	-0.538881392	-1.098097931	-0.818489662	-0.035586507
ENST00000638437.1	-0.942573728	0.18509756	2.064549707	1.563362468	0.936878419	-0.316089679	-0.06549606	1.563362468	0.936878419	1.187472038	1.813956087	1.187472038	1.438065658	-1.569057777	-1.318464158	0.18509756	0.18509756	-1.318464158	-3.072619495	-0.691980109	-0.817276918	-0.817276918	-0.316089679	-0.06549606	-0.190792869	-0.316089679	0.811581609	-0.691980109	-0.691980109	0.05980075	-0.441386489	-0.316089679	-0.190792869	-0.06549606	0.31039437	1.062175228	-0.817276918	0.31039437	-0.441386489	0.18509756	0.18509756	-0.817276918	-0.441386489	0.560987989
ENST00000638724.1	-1.335523771	-0.634174544	2.121125989	1.620162255	0.918813029	0.668331162	0.868716656	0.968909402	0.818620282	0.818620282	0.718427536	1.670258629	1.369680389	-0.233403558	-0.083114438	1.620162255	-1.385620144	-0.584078171	-1.93668025	-1.185234651	-1.285427397	-1.235331024	0.217463802	0.467945669	0.167367429	0.167367429	-0.133210811	-0.734367291	0.117271056	2.171222362	-0.734367291	-0.333596304	-0.383692677	-0.433789051	0.317656549	-0.283499931	-0.784463664	-0.684270917	-0.834560037	-0.634174544	-0.684270917	-0.684270917	-0.934752784	0.367752922
ENST00000609162.1	-0.23018799	1.923788311	1.058760595	1.030117293	-0.270288612	0.760870255	-0.184358707	2.141477405	1.270721029	1.064489255	0.119260293	1.035845953	1.665998594	-0.316117895	0.07343101	1.963888934	-1.072301065	-0.929084555	-1.6165238	-1.037929102	-0.213002008	-0.115614782	-1.123859008	-0.218730669	-0.929084555	-0.39059048	-0.946270536	0.193732878	-1.020743121	1.373836915	-0.476520386	-0.642651537	-0.339032537	1.786300462	0.451522595	-0.052599518	-0.213002008	-1.100944367	-0.459334405	-0.85461197	-1.100944367	-0.837425989	-0.969185178	-0.253102631
ENST00000307533.10	2.052741791	-0.062181177	0.642793146	0.525297425	1.565973806	0.944924998	1.683469527	2.069526894	1.112776028	1.095990925	1.532403601	1.01206541	1.582758909	0.391016602	-0.162891794	1.884890762	-0.733585293	-0.817510808	-1.388204307	-0.280387515	0.156025161	0.357446396	-0.397883235	-0.616089573	-0.901436323	-0.783940602	-0.146106691	-0.616089573	-1.40498941	-0.297172618	-0.750370396	-1.086072455	-0.649659779	-0.582519367	-0.750370396	-0.632874676	-0.901436323	-0.297172618	-0.716800191	-0.532164058	-0.532164058	-1.153212866	-0.767155499	-0.649659779
ENST00000412321.1	-0.466686617	-0.466686617	0.535825375	1.434629229	2.005023983	1.071650749	1.279067024	1.918600535	2.264294325	2.333433083	2.074162741	1.797607709	0.846949786	0.190131585	0.276555032	-0.656818201	-0.656818201	-0.656818201	-0.656818201	-0.414832548	-0.449401927	-0.36297848	-0.656818201	-0.466686617	-0.656818201	-0.656818201	-0.656818201	-0.656818201	-0.656818201	-0.380263169	-0.656818201	-0.656818201	-0.656818201	-0.656818201	-0.656818201	-0.656818201	-0.656818201	-0.656818201	-0.656818201	-0.656818201	-0.656818201	-0.656818201	-0.656818201	0.086423448
ENST00000412553.5	1.889344925	-0.693371244	0.651793427	1.351279056	1.405085643	1.674118578	2.265991033	1.889344925	1.889344925	1.727925164	0.759406601	0.705600014	1.620311991	0.059920972	0.167534145	-0.693371244	-0.693371244	-0.693371244	-0.693371244	-0.693371244	-0.693371244	-0.693371244	0.59798684	-0.693371244	-0.693371244	-0.155305376	0.221340732	-0.693371244	-0.693371244	-0.693371244	-0.693371244	-0.693371244	-0.693371244	-0.693371244	-0.693371244	-0.693371244	-0.693371244	-0.693371244	-0.693371244	-0.693371244	-0.693371244	-0.693371244	-0.693371244	-0.693371244
ENST00000412740.6	-0.255630271	-0.475634808	-0.118127436	0.514385607	1.834412828	1.559407157	2.301922469	1.944415097	1.72441056	1.614408292	1.476905456	1.834412828	1.586907725	0.541886175	0.541886175	0.651888443	-0.750640479	-0.750640479	-0.750640479	-0.750640479	-0.750640479	-0.750640479	-0.750640479	0.321881638	0.266880503	-0.420633674	-0.393133107	-0.750640479	-0.750640479	-0.750640479	-0.750640479	-0.750640479	-0.750640479	-0.750640479	-0.750640479	-0.750640479	-0.750640479	-0.750640479	-0.750640479	-0.475634808	-0.420633674	-0.750640479	-0.750640479	-0.393133107
ENST00000415889.2	-0.811967704	-0.811967704	0.536892931	1.812842179	1.338918172	2.177399107	2.286766186	2.250310493	1.667019408	1.484740944	1.04727263	1.375373865	1.010816937	-0.37449939	-0.11930954	-0.447410775	-0.811967704	-0.811967704	-0.447410775	-0.811967704	-0.37449939	0.062968924	-0.192220926	-0.811967704	-0.811967704	-0.811967704	-0.811967704	-0.811967704	-0.811967704	-0.811967704	0.646260009	-0.811967704	-0.11930954	0.354614466	-0.11930954	-0.155765233	-0.811967704	-0.811967704	-0.811967704	-0.301588004	-0.338043697	-0.447410775	-0.811967704	-0.811967704
ENST00000503695.4	1.074059217	0.148245039	0.190327501	0.232409964	1.663213694	0.821564441	1.494883843	1.999873395	1.91570847	0.905729366	1.452801381	1.28447153	1.957790932	-0.440909438	-0.525074363	2.252368171	-1.198393766	-0.356744513	-1.198393766	-1.198393766	-1.198393766	-1.198393766	-0.735486677	-0.609239289	-0.777569139	-0.272579588	-1.198393766	-0.693404214	-0.693404214	-0.567156826	-0.777569139	-0.735486677	-0.567156826	-0.1463322	-0.1463322	-0.230497125	-0.482991901	-0.188414662	-0.482991901	-0.230497125	-0.188414662	-0.230497125	-0.609239289	0.48490474
