	kmeans	Group
ENST00000306731.4	18	Testis
ENST00000370341.3	18	Testis
ENST00000370624.1	18	Testis
ENST00000371169.1	18	Testis
ENST00000380990.5	18	Testis
ENST00000401018.5	18	Testis
ENST00000404616.2	18	Testis
ENST00000409974.7	18	Testis
ENST00000412134.5	18	Testis
ENST00000412360.1	18	Testis
ENST00000412722.1	18	Testis
ENST00000412872.3	18	Testis
ENST00000413247.5	18	Testis
ENST00000413825.6	18	Testis
ENST00000414223.4	18	Testis
ENST00000414677.1	18	Testis
ENST00000415283.1	18	Testis
ENST00000415504.5	18	Testis
ENST00000415532.2	18	Testis
ENST00000416032.5	18	Testis
ENST00000416521.6	18	Testis
ENST00000416742.5	18	Testis
ENST00000417609.1	18	Testis
ENST00000417805.1	18	Testis
ENST00000417883.2	18	Testis
ENST00000418943.1	18	Testis
ENST00000419796.1	18	Testis
ENST00000419836.1	18	Testis
ENST00000420508.1	18	Testis
ENST00000420529.5	18	Testis
ENST00000420701.5	18	Testis
ENST00000420766.1	18	Testis
ENST00000420901.5	18	Testis
ENST00000421212.1	18	Testis
ENST00000421380.1	18	Testis
ENST00000421563.5	18	Testis
ENST00000422010.2	18	Testis
ENST00000422117.1	18	Testis
ENST00000422305.1	18	Testis
ENST00000422352.5	18	Testis
ENST00000423197.2	18	Testis
ENST00000423318.1	18	Testis
ENST00000424357.1	18	Testis
ENST00000425021.1	18	Testis
ENST00000425048.1	18	Testis
ENST00000426697.1	18	Testis
ENST00000426859.1	18	Testis
ENST00000427318.2	18	Testis
ENST00000428222.1	18	Testis
ENST00000428761.1	18	Testis
ENST00000429949.1	18	Testis
ENST00000430050.2	18	Testis
ENST00000431311.1	18	Testis
ENST00000431343.1	18	Testis
ENST00000431947.1	18	Testis
ENST00000432163.1	18	Testis
ENST00000432506.5	18	Testis
ENST00000432697.2	18	Testis
ENST00000432711.1	18	Testis
ENST00000432822.1	18	Testis
ENST00000433051.1	18	Testis
ENST00000433085.1	18	Testis
ENST00000433357.2	18	Testis
ENST00000433429.1	18	Testis
ENST00000433546.2	18	Testis
ENST00000434117.2	18	Testis
ENST00000434189.2	18	Testis
ENST00000434443.1	18	Testis
ENST00000434707.1	18	Testis
ENST00000435253.5	18	Testis
ENST00000435548.1	18	Testis
ENST00000435973.1	18	Testis
ENST00000436121.2	18	Testis
ENST00000437777.1	18	Testis
ENST00000438699.6	18	Testis
ENST00000439079.1	18	Testis
ENST00000439184.1	18	Testis
ENST00000439633.6	18	Testis
ENST00000439893.1	18	Testis
ENST00000440397.1	18	Testis
ENST00000440668.5	18	Testis
ENST00000440786.1	18	Testis
ENST00000440867.1	18	Testis
ENST00000440935.1	18	Testis
ENST00000441009.1	18	Testis
ENST00000441169.1	18	Testis
ENST00000441568.1	18	Testis
ENST00000443246.2	18	Testis
ENST00000443811.1	18	Testis
ENST00000444827.5	18	Testis
ENST00000444900.1	18	Testis
ENST00000445035.2	18	Testis
ENST00000445613.1	18	Testis
ENST00000446115.1	18	Testis
ENST00000446399.5	18	Testis
ENST00000447158.1	18	Testis
ENST00000447481.1	18	Testis
ENST00000448859.1	18	Testis
ENST00000448909.1	18	Testis
ENST00000449069.2	18	Testis
ENST00000449316.1	18	Testis
ENST00000449362.1	18	Testis
ENST00000449954.1	18	Testis
ENST00000450628.1	18	Testis
ENST00000451289.1	18	Testis
ENST00000451317.2	18	Testis
ENST00000451336.2	18	Testis
ENST00000451675.5	18	Testis
ENST00000451980.3	18	Testis
ENST00000452944.1	18	Testis
ENST00000453135.1	18	Testis
ENST00000453463.1	18	Testis
ENST00000453968.1	18	Testis
ENST00000454271.1	18	Testis
ENST00000454455.5	18	Testis
ENST00000455464.6	18	Testis
ENST00000455623.1	18	Testis
ENST00000455701.1	18	Testis
ENST00000455995.5	18	Testis
ENST00000456062.1	18	Testis
ENST00000457339.5	18	Testis
ENST00000462011.1	18	Testis
ENST00000464359.6	18	Testis
ENST00000470532.1	18	Testis
ENST00000470546.5	18	Testis
ENST00000472243.2	18	Testis
ENST00000473938.1	18	Testis
ENST00000479244.1	18	Testis
ENST00000484892.5	18	Testis
