	Testis_sex1	Adrenal_Gland_sex1	Brain_Spinal_cord_cervical_c_1_sex1	Brain_Amygdala_sex1	Brain_Anterior_cingulate_cortex_BA24_sex1	Brain_Caudate_basal_ganglia_sex1	Brain_Cortex_sex1	Brain_Frontal_Cortex_BA9_sex1	Brain_Hippocampus_sex1	Brain_Hypothalamus_sex1	Brain_Nucleus_accumbens_basal_ganglia_sex1	Brain_Putamen_basal_ganglia_sex1	Brain_Substantia_nigra_sex1	Brain_Cerebellar_Hemisphere_sex1	Brain_Cerebellum_sex1	Pituitary_sex1	Kidney_Cortex_sex1	Liver_sex1	Thyroid_sex1	Spleen_sex1	Whole_Blood_sex1	Esophagus_Mucosa_sex1	Skin_Not_Sun_Exposed_Suprapubic_sex1	Skin_Sun_Exposed_Lower_leg_sex1	Heart_Atrial_Appendage_sex1	Heart_Left_Ventricle_sex1	Muscle_Skeletal_sex1	Lung_sex1	Nerve_Tibial_sex1	Pancreas_sex1	Minor_Salivary_Gland_sex1	Adipose_Subcutaneous_sex1	Adipose_Visceral_Omentum_sex1	Breast_Mammary_Tissue_sex1	Colon_Transverse_sex1	Small_Intestine_Terminal_Ileum_sex1	Stomach_sex1	Artery_Aorta_sex1	Artery_Tibial_sex1	Artery_Coronary_sex1	Colon_Sigmoid_sex1	Esophagus_Muscularis_sex1	Esophagus_Gastroesophageal_Junction_sex1	Prostate_sex1
ENST00000483450.1	2.82753946	-0.074191997	0.433611008	-0.291821857	-0.727081575	-0.654538289	-0.799624862	-1.597601012	-0.146735284	-0.43690843	-0.43690843	-0.872168148	-0.291821857	-1.597601012	-0.509451716	-0.509451716	-0.43690843	-0.146735284	1.957020022	0.215981148	-1.597601012	-0.001648711	0.506154294	0.361067721	-0.654538289	-0.872168148	-1.597601012	-0.291821857	3.045169319	0.143437862	0.57869758	0.433611008	-0.21927857	1.159043872	1.013957299	0.215981148	-0.074191997	-0.291821857	-0.146735284	-0.001648711	0.433611008	0.143437862	0.143437862	1.666846877
ENST00000484213.1	-0.146314203	-0.671850934	-0.861628087	-0.949217542	-0.978414027	-0.832431602	-0.774038632	-1.036806997	-0.934619299	-0.99301227	-0.920021057	-0.934619299	-0.920021057	-0.671850934	-0.087921233	-0.014930021	-0.423680811	2.700343088	-0.117117718	-0.438279054	-1.16819118	-0.204707174	1.021545198	0.787973318	0.101855919	-0.423680811	-0.920021057	0.014266464	3.955791944	0.948553985	-0.044126506	0.247838345	-0.248501901	0.729580348	0.612794408	0.729580348	0.68578562	0.320829557	0.116454162	0.379222527	0.933955743	0.612794408	0.890161015	-0.073322991
ENST00000497381.1	-0.426101903	-0.058484575	-0.426101903	-1.324722037	-1.079643818	-0.712026491	-0.181023684	-0.752872861	-0.671180121	0.145747274	-0.221870054	-0.87541197	-0.87541197	0.595057341	0.75844282	1.534523845	-0.997951079	-0.8345656	0.390825492	0.554210971	0.75844282	0.676750081	0.962674669	1.697909324	-0.344409163	-1.365568407	-1.120490188	0.023208165	4.107845139	0.390825492	0.104900904	1.616216585	-0.916258339	0.962674669	-0.181023684	0.186593644	-0.262716424	-0.548641012	-0.712026491	-0.79371923	0.023208165	-0.058484575	0.186593644	0.064054534
ENST00000558924.1	-0.927590913	0.566861113	0.66992677	-0.721459599	-1.288320712	-0.412262628	-1.03065657	-1.33985354	-0.103065657	-0.876058084	-0.66992677	-0.463795456	-0.154598485	-0.309196971	-0.360729799	0.051532828	-0.360729799	0.515328285	0.463795456	2.215911625	-1.133722227	0.154598485	0.515328285	0.154598485	0.360729799	0.463795456	-2.009780311	2.37051011	3.710363651	-0.412262628	0.927590913	0.412262628	-0.309196971	0.206131314	0.257664142	0.66992677	-0.566861113	-0.103065657	-1.03065657	0.051532828	-0.154598485	-0.360729799	-0.051532828	0.412262628
ENST00000371150.5	-0.294695712	-0.294695712	1.25441272	-0.294695712	-0.294695712	-0.294695712	-0.294695712	-0.294695712	-0.294695712	-0.00782378	-0.294695712	-0.294695712	0.766730436	-0.294695712	-0.294695712	-0.294695712	-0.294695712	0.049550606	-0.294695712	-0.294695712	-0.294695712	-0.294695712	-0.294695712	-0.294695712	-0.294695712	-0.294695712	-0.294695712	-0.294695712	5.471430117	2.803521151	-0.294695712	-0.294695712	-0.00782378	-0.00782378	-0.294695712	-0.294695712	-0.00782378	-0.294695712	-0.294695712	-0.294695712	-0.294695712	-0.294695712	-0.294695712	-0.294695712
ENST00000381486.6	1.051931801	1.665791208	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	0.92915992	-0.421330774	1.665791208	0.806388039	-0.421330774	-0.421330774	-0.421330774	1.665791208	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	0.92915992	1.174703683	4.857860122
ENST00000524679.1	-0.897388659	2.01685179	-0.897388659	0.359734672	0.131166794	0.70258649	0.131166794	0.359734672	-0.040259115	-0.325968963	0.416876642	0.64544452	0.474018611	-0.897388659	-0.897388659	1.045438307	-0.211685024	-0.211685024	0.131166794	-0.897388659	-0.897388659	1.616858003	0.016882855	0.074024824	-0.897388659	-0.897388659	1.559716033	-0.897388659	3.731110878	-0.897388659	2.01685179	-0.268826993	0.074024824	-0.040259115	-0.897388659	-0.897388659	-0.897388659	0.074024824	0.016882855	-0.040259115	-0.897388659	-0.897388659	-0.897388659	-0.097401085
ENST00000554527.1	-0.434473588	-0.661730338	-0.988980059	0.092762074	0.347289634	0.556365845	0.574546385	0.047310724	-0.598098448	-0.770813579	0.365470174	0.138213424	-0.752633039	-0.925348169	-0.752633039	0.619997735	2.138072829	-0.879896819	1.392670687	1.156323667	-0.979889789	-0.479924938	0.047310724	0.301838284	-0.425383318	-0.825355199	-0.970799519	-0.098133597	4.656077626	-0.852626009	-0.479924938	-0.079953057	0.129123154	-0.225397377	-0.316300077	0.429102065	-0.089043327	-0.798084389	-0.816264929	-0.334480617	0.201845314	0.365470174	0.910886376	0.065491264
ENST00000558189.1	-0.59708476	-0.200394267	1.007708596	-0.669210304	-0.633147532	0.124170681	0.070076523	-0.651178918	0.647080875	-0.182362881	0.538892559	-0.074174565	0.124170681	-1.426528516	-1.174089112	-0.416770899	-1.895344552	-0.524959215	1.115896912	2.125654528	-2.183846729	-0.993775252	1.44046186	1.512587404	-1.264246042	1.115896912	-0.579053374	-0.975743866	1.332273544	0.430704243	1.043771368	1.674869878	-1.336371586	1.07983414	0.574955331	1.151959684	0.106139295	0.142202067	-0.488896443	-1.13802634	0.160233453	-0.074174565	-0.020080407	-0.020080407
ENST00000579350.1	-0.552696024	0.006352828	0.453591909	-0.999935105	-1.223554646	1.683499383	0.621306565	-0.496791139	-0.496791139	-1.279459531	1.068545646	0.453591909	-0.83222045	-1.223554646	-0.384981368	-0.049552057	-1.167649761	-1.05583999	0.285877254	1.739404268	1.795309153	-0.664505794	0.062257713	0.006352828	0.174067483	-0.94403022	-2.285747464	-0.273171598	3.081121513	0.397687024	0.229972369	0.285877254	-0.999935105	0.174067483	0.062257713	1.515784728	0.341782139	-0.049552057	-0.720410679	-0.552696024	0.56540168	0.509496794	0.900830991	-0.161361828
