	Group	kmeans	Type	column1	column2
ENST00000188312.6	Testis	24	Testis	1	1
ENST00000216330.7	Testis	24	Testis	1	1
ENST00000223459.10	Testis	24	Testis	1	1
ENST00000227349.6	Testis	24	Testis	1	1
ENST00000231749.7	Testis	24	Testis	1	1
ENST00000239026.10	Testis	24	Testis	1	1
ENST00000252318.6	Testis	24	Testis	1	1
ENST00000261058.2	Testis	24	Testis	1	1
ENST00000263549.7	Testis	24	Testis	1	1
ENST00000267594.5	Testis	24	Testis	1	1
ENST00000272193.10	Testis	24	Testis	1	1
ENST00000276127.8	Testis	24	Testis	1	1
ENST00000292430.10	Testis	24	Testis	1	1
ENST00000295240.7	Testis	24	Testis	1	1
ENST00000295720.10	Testis	24	Testis	1	1
ENST00000302259.4	Testis	24	Testis	1	1
ENST00000303383.7	Testis	24	Testis	1	1
ENST00000309164.11	Testis	24	Testis	1	1
ENST00000309934.4	Testis	24	Testis	1	1
ENST00000312087.10	Testis	24	Testis	1	1
ENST00000316401.11	Testis	24	Testis	1	1
ENST00000317371.8	Testis	24	Testis	1	1
ENST00000318737.8	Testis	24	Testis	1	1
ENST00000319386.7	Testis	24	Testis	1	1
ENST00000324384.3	Testis	24	Testis	1	1
ENST00000326597.6	Testis	24	Testis	1	1
ENST00000326856.8	Testis	24	Testis	1	1
ENST00000327920.12	Testis	24	Testis	1	1
ENST00000328794.10	Testis	24	Testis	1	1
ENST00000332772.4	Testis	24	Testis	1	1
ENST00000335496.5	Testis	24	Testis	1	1
ENST00000336443.3	Testis	24	Testis	1	1
ENST00000336740.10	Testis	24	Testis	1	1
ENST00000337656.8	Testis	24	Testis	1	1
ENST00000339737.6	Testis	24	Testis	1	1
ENST00000339764.5	Testis	24	Testis	1	1
ENST00000340011.9	Testis	24	Testis	1	1
ENST00000343985.8	Testis	24	Testis	1	1
ENST00000344248.3	Testis	24	Testis	1	1
ENST00000345941.2	Testis	24	Testis	1	1
ENST00000348581.9	Testis	24	Testis	1	1
ENST00000350696.9	Testis	24	Testis	1	1
ENST00000354479.5	Testis	24	Testis	1	1
ENST00000354504.7	Testis	24	Testis	1	1
ENST00000355265.6	Testis	24	Testis	1	1
ENST00000355557.6	Testis	24	Testis	1	1
ENST00000355591.7	Testis	24	Testis	1	1
ENST00000356438.7	Testis	24	Testis	1	1
ENST00000356858.7	Testis	24	Testis	1	1
ENST00000357362.7	Testis	24	Testis	1	1
ENST00000357775.5	Testis	24	Testis	1	1
ENST00000357796.7	Testis	24	Testis	1	1
ENST00000358545.6	Testis	24	Testis	1	1
ENST00000359008.8	Testis	24	Testis	1	1
ENST00000360449.3	Testis	24	Testis	1	1
ENST00000360639.6	Testis	24	Testis	1	1
ENST00000361066.6	Testis	24	Testis	1	1
ENST00000361188.9	Testis	24	Testis	1	1
ENST00000366463.6	Testis	24	Testis	1	1
ENST00000366487.3	Testis	24	Testis	1	1
ENST00000367153.8	Testis	24	Testis	1	1
ENST00000367265.7	Testis	24	Testis	1	1
ENST00000367557.8	Testis	24	Testis	1	1
ENST00000368612.3	Testis	24	Testis	1	1
ENST00000368812.1	Testis	24	Testis	1	1
ENST00000369407.3	Testis	24	Testis	1	1
ENST00000369553.5	Testis	24	Testis	1	1
ENST00000370548.3	Testis	24	Testis	1	1
ENST00000370819.5	Testis	24	Testis	1	1
ENST00000371007.6	Testis	24	Testis	1	1
ENST00000371332.8	Testis	24	Testis	1	1
ENST00000371425.8	Testis	24	Testis	1	1
ENST00000371431.7	Testis	24	Testis	1	1
ENST00000371458.1	Testis	24	Testis	1	1
ENST00000371759.6	Testis	24	Testis	1	1
ENST00000371936.5	Testis	24	Testis	1	1
ENST00000372090.5	Testis	24	Testis	1	1
ENST00000372227.5	Testis	24	Testis	1	1
ENST00000372478.4	Testis	24	Testis	1	1
ENST00000372595.5	Testis	24	Testis	1	1
ENST00000372907.7	Testis	24	Testis	1	1
ENST00000373111.5	Testis	24	Testis	1	1
ENST00000373249.5	Testis	24	Testis	1	1
ENST00000373473.5	Testis	24	Testis	1	1
ENST00000373735.1	Testis	24	Testis	1	1
ENST00000373975.2	Testis	24	Testis	1	1
ENST00000374084.2	Testis	24	Testis	1	1
ENST00000374667.4	Testis	24	Testis	1	1
ENST00000374688.5	Testis	24	Testis	1	1
ENST00000375406.1	Testis	24	Testis	1	1
ENST00000375577.5	Testis	24	Testis	1	1
ENST00000375719.7	Testis	24	Testis	1	1
ENST00000375780.6	Testis	24	Testis	1	1
ENST00000375996.6	Testis	24	Testis	1	1
ENST00000376027.5	Testis	24	Testis	1	1
ENST00000376434.5	Testis	24	Testis	1	1
ENST00000377133.5	Testis	24	Testis	1	1
ENST00000377136.5	Testis	24	Testis	1	1
ENST00000377192.6	Testis	24	Testis	1	1
ENST00000378434.8	Testis	24	Testis	1	1
ENST00000379073.9	Testis	24	Testis	1	1
ENST00000379091.8	Testis	24	Testis	1	1
ENST00000379116.9	Testis	24	Testis	1	1
ENST00000382079.3	Testis	24	Testis	1	1
ENST00000382240.9	Testis	24	Testis	1	1
ENST00000382882.7	Testis	24	Testis	1	1
ENST00000383771.8	Testis	24	Testis	1	1
ENST00000388957.3	Testis	24	Testis	1	1
ENST00000390649.7	Testis	24	Testis	1	1
ENST00000391394.3	Testis	24	Testis	1	1
ENST00000392040.5	Testis	24	Testis	1	1
ENST00000392784.6	Testis	24	Testis	1	1
ENST00000392799.7	Testis	24	Testis	1	1
ENST00000393283.5	Testis	24	Testis	1	1
ENST00000393785.6	Testis	24	Testis	1	1
ENST00000394728.4	Testis	24	Testis	1	1
ENST00000394874.1	Testis	24	Testis	1	1
ENST00000394982.2	Testis	24	Testis	1	1
ENST00000395066.7	Testis	24	Testis	1	1
ENST00000395841.6	Testis	24	Testis	1	1
ENST00000395852.5	Testis	24	Testis	1	1
ENST00000396472.5	Testis	24	Testis	1	1
ENST00000396533.5	Testis	24	Testis	1	1
ENST00000397193.7	Testis	24	Testis	1	1
ENST00000397459.6	Testis	24	Testis	1	1
ENST00000399147.8	Testis	24	Testis	1	1
ENST00000399635.3	Testis	24	Testis	1	1
ENST00000400127.5	Testis	24	Testis	1	1
ENST00000400477.7	Testis	24	Testis	1	1
ENST00000402388.1	Testis	24	Testis	1	1
ENST00000402578.5	Testis	24	Testis	1	1
