TE	Count	Ratio	Type
AluYm1	10	2.375	PC_female_vsAllTE
HERVE-int	5	20.202	PC_female_vsAllTE
L1PA2	10	2.245	PC_female_vsAllTE
LFSINE_Vert	9	4.515	PC_female_vsAllTE
LTR10C	5	10.65	PC_female_vsAllTE
LTR12_	5	10.306	PC_female_vsAllTE
LTR12C	17	7.053	PC_female_vsAllTE
LTR12D	3	6.67	PC_female_vsAllTE
LTR2B	6	18.919	PC_female_vsAllTE
LTR79	5	1.402	PC_female_vsAllTE
MamRep605b	5	2.401	PC_female_vsAllTE
MARNA	6	2.101	PC_female_vsAllTE
MER102b	5	1.791	PC_female_vsAllTE
MER113	7	2.131	PC_female_vsAllTE
MER21A	4	2.32	PC_female_vsAllTE
MER21C	5	1.003	PC_female_vsAllTE
MER4B	5	3.211	PC_female_vsAllTE
MER50	5	2.216	PC_female_vsAllTE
MER52A	5	3.918	PC_female_vsAllTE
MLT1F	6	1.518	PC_female_vsAllTE
MLT1F1	3	1.006	PC_female_vsAllTE
OldhAT1	8	2.064	PC_female_vsAllTE
Penelope1_Vert	5	5.112	PC_female_vsAllTE
THE1A	8	2.11	PC_female_vsAllTE
Tigger16b	4	3.565	PC_female_vsAllTE
Tigger19a	6	1.841	PC_female_vsAllTE
Tigger2	5	2.025	PC_female_vsAllTE
Tigger20a	5	4.166	PC_female_vsAllTE
AluSx	127	1.126	PC_female_vsAllTE
ERV3-16A3_I-int	1	0.143	PC_female_vsAllTE
ERVL-E-int	4	0.525	PC_female_vsAllTE
HERVH-int	3	0.565	PC_female_vsAllTE
L1MC4	22	1.046	PC_female_vsAllTE
L1MC5	14	1.098	PC_female_vsAllTE
LTR1A2	1	1.124	PC_female_vsAllTE
MER51A	4	5.009	PC_female_vsAllTE
MLT1A	3	0.36	PC_female_vsAllTE
MLT1A0	11	0.584	PC_female_vsAllTE
MLT1A1	3	0.484	PC_female_vsAllTE
MLT1B	8	0.502	PC_female_vsAllTE
MLT1C	6	0.997	PC_female_vsAllTE
MLT1C2	15	1.051	PC_female_vsAllTE
MLT1G1	2	0.65	PC_female_vsAllTE
MLT1H	5	0.56	PC_female_vsAllTE
MLT1I	6	0.594	PC_female_vsAllTE
MLT1J	8	0.587	PC_female_vsAllTE
MLT1J2	2	0.342	PC_female_vsAllTE
MLT1K	11	0.691	PC_female_vsAllTE
MLT1L	9	0.859	PC_female_vsAllTE
MSTA	7	0.401	PC_female_vsAllTE
THE1B	10	0.501	PC_female_vsAllTE
THE1D	7	0.629	PC_female_vsAllTE
AluYm1	10	2.276	PC_male_vsAllTE
HERVE-int	6	23.569	PC_male_vsAllTE
L1PA2	10	2.151	PC_male_vsAllTE
LFSINE_Vert	9	4.31	PC_male_vsAllTE
LTR10C	5	9.763	PC_male_vsAllTE
LTR12_	5	9.447	PC_male_vsAllTE
LTR12C	21	8.257	PC_male_vsAllTE
LTR12D	6	13.341	PC_male_vsAllTE
LTR2B	6	18.919	PC_male_vsAllTE
LTR79	6	1.635	PC_male_vsAllTE
MamRep605b	5	2.201	PC_male_vsAllTE
MARNA	6	2.101	PC_male_vsAllTE
MER102b	5	1.642	PC_male_vsAllTE
MER113	7	2.006	PC_male_vsAllTE
MER21A	5	2.552	PC_male_vsAllTE
MER21C	6	1.17	PC_male_vsAllTE
MER4B	5	2.943	PC_male_vsAllTE
MER50	5	2.031	PC_male_vsAllTE
MER52A	5	3.592	PC_male_vsAllTE
MLT1F	7	1.735	PC_male_vsAllTE
MLT1F1	5	1.581	PC_male_vsAllTE
OldhAT1	9	2.281	PC_male_vsAllTE
Penelope1_Vert	5	4.686	PC_male_vsAllTE
THE1A	8	1.999	PC_male_vsAllTE
Tigger16b	6	4.99	PC_male_vsAllTE
Tigger19a	6	1.841	PC_male_vsAllTE
Tigger2	5	1.856	PC_male_vsAllTE
