TE	Freq	Fraction	Tissue_Number	Sex	Type
DNA	26	0.114537444933921	1	Male	Protein-coding
LINE	62	0.273127753303965	1	Male	Protein-coding
LTR	85	0.374449339207048	1	Male	Protein-coding
SINE	54	0.237885462555066	1	Male	Protein-coding
DNA	3	0.0375	2	Male	Protein-coding
LINE	38	0.475	2	Male	Protein-coding
LTR	14	0.175	2	Male	Protein-coding
SINE	25	0.3125	2	Male	Protein-coding
DNA	2	0.048780487804878	3	Male	Protein-coding
LINE	15	0.365853658536585	3	Male	Protein-coding
LTR	8	0.195121951219512	3	Male	Protein-coding
SINE	16	0.390243902439024	3	Male	Protein-coding
DNA	2	0.0540540540540541	4	Male	Protein-coding
LINE	9	0.243243243243243	4	Male	Protein-coding
LTR	15	0.405405405405405	4	Male	Protein-coding
SINE	11	0.297297297297297	4	Male	Protein-coding
DNA	2	0.0689655172413793	5	Male	Protein-coding
LINE	11	0.379310344827586	5	Male	Protein-coding
LTR	5	0.172413793103448	5	Male	Protein-coding
SINE	11	0.379310344827586	5	Male	Protein-coding
DNA	2	0.0625	6	Male	Protein-coding
LINE	11	0.34375	6	Male	Protein-coding
LTR	9	0.28125	6	Male	Protein-coding
SINE	10	0.3125	6	Male	Protein-coding
DNA	4	0.16	7	Male	Protein-coding
LINE	9	0.36	7	Male	Protein-coding
LTR	5	0.2	7	Male	Protein-coding
SINE	7	0.28	7	Male	Protein-coding
DNA	3	0.12	8	Male	Protein-coding
LINE	5	0.2	8	Male	Protein-coding
LTR	9	0.36	8	Male	Protein-coding
SINE	8	0.32	8	Male	Protein-coding
DNA	2	0.0869565217391304	9	Male	Protein-coding
LINE	4	0.173913043478261	9	Male	Protein-coding
LTR	7	0.304347826086957	9	Male	Protein-coding
SINE	10	0.434782608695652	9	Male	Protein-coding
DNA	3	0.1875	10	Male	Protein-coding
LINE	2	0.125	10	Male	Protein-coding
LTR	3	0.1875	10	Male	Protein-coding
SINE	8	0.5	10	Male	Protein-coding
DNA	2	0.166666666666667	11	Male	Protein-coding
LINE	5	0.416666666666667	11	Male	Protein-coding
LTR	3	0.25	11	Male	Protein-coding
SINE	2	0.166666666666667	11	Male	Protein-coding
DNA	2	0.153846153846154	12	Male	Protein-coding
LINE	1	0.0769230769230769	12	Male	Protein-coding
LTR	6	0.461538461538462	12	Male	Protein-coding
SINE	4	0.307692307692308	12	Male	Protein-coding
DNA	6	0.222222222222222	13	Male	Protein-coding
LINE	7	0.259259259259259	13	Male	Protein-coding
LTR	6	0.222222222222222	13	Male	Protein-coding
SINE	8	0.296296296296296	13	Male	Protein-coding
LTR	1	0.25	14	Male	Protein-coding
SINE	3	0.75	14	Male	Protein-coding
DNA	7	0.333333333333333	15	Male	Protein-coding
LINE	5	0.238095238095238	15	Male	Protein-coding
LTR	1	0.0476190476190476	15	Male	Protein-coding
SINE	8	0.380952380952381	15	Male	Protein-coding
DNA	1	0.0625	16	Male	Protein-coding
LINE	9	0.5625	16	Male	Protein-coding
LTR	3	0.1875	16	Male	Protein-coding
SINE	3	0.1875	16	Male	Protein-coding
LINE	4	0.285714285714286	17	Male	Protein-coding
LTR	5	0.357142857142857	17	Male	Protein-coding
SINE	5	0.357142857142857	17	Male	Protein-coding
DNA	2	0.222222222222222	18	Male	Protein-coding
LINE	3	0.333333333333333	18	Male	Protein-coding
SINE	4	0.444444444444444	18	Male	Protein-coding
LINE	1	0.0526315789473684	19	Male	Protein-coding
LTR	15	0.789473684210526	19	Male	Protein-coding
SINE	3	0.157894736842105	19	Male	Protein-coding
DNA	3	0.230769230769231	20	Male	Protein-coding
LINE	2	0.153846153846154	20	Male	Protein-coding
LTR	2	0.153846153846154	20	Male	Protein-coding
SINE	6	0.461538461538462	20	Male	Protein-coding
LINE	2	0.4	21	Male	Protein-coding
LTR	3	0.6	21	Male	Protein-coding
LINE	3	0.6	22	Male	Protein-coding
SINE	2	0.4	22	Male	Protein-coding
LINE	4	0.25	23	Male	Protein-coding
LTR	2	0.125	23	Male	Protein-coding
SINE	10	0.625	23	Male	Protein-coding
DNA	1	0.2	24	Male	Protein-coding
SINE	4	0.8	24	Male	Protein-coding
DNA	3	0.272727272727273	25	Male	Protein-coding
LINE	3	0.272727272727273	25	Male	Protein-coding
LTR	2	0.181818181818182	25	Male	Protein-coding
SINE	3	0.272727272727273	25	Male	Protein-coding
DNA	1	0.0666666666666667	26	Male	Protein-coding
LTR	9	0.6	26	Male	Protein-coding
SINE	5	0.333333333333333	26	Male	Protein-coding
DNA	3	0.3	27	Male	Protein-coding
LINE	1	0.1	27	Male	Protein-coding
LTR	1	0.1	27	Male	Protein-coding
SINE	5	0.5	27	Male	Protein-coding
DNA	2	0.142857142857143	28	Male	Protein-coding
LINE	2	0.142857142857143	28	Male	Protein-coding
LTR	6	0.428571428571429	28	Male	Protein-coding
SINE	4	0.285714285714286	28	Male	Protein-coding
LINE	5	0.5	29	Male	Protein-coding
LTR	4	0.4	29	Male	Protein-coding
SINE	1	0.1	29	Male	Protein-coding
LINE	1	0.25	30	Male	Protein-coding
SINE	3	0.75	30	Male	Protein-coding
