V1	V7	V8	Freq	MYA	Group
Eutheria	BLACKJACK	DNA	1	99.2	Mammalia
Eutheria	Charlie10a	DNA	1	99.2	Mammalia
Theria_mammals	Charlie24	DNA	3	160	Mammalia
Eutheria	Charlie2b	DNA	1	99.2	Mammalia
Eutheria	Charlie4z	DNA	1	99.2	Mammalia
Eutheria	Charlie5	DNA	1	99.2	Mammalia
Eutheria	Eutr15	DNA	1	99.2	Mammalia
Eutheria	FordPrefect	DNA	1	99.2	Mammalia
Eutheria	FordPrefect_a	DNA	1	99.2	Mammalia
"Monotremata, Theria_mammals"	hAT-1_Mam	DNA	1	160	Mammalia
Eutheria	MamRep4096	DNA	1	99.2	Mammalia
Theria_mammals	MamTip2	DNA	1	160	Mammalia
Theria_mammals	MamTip2b	DNA	1	160	Mammalia
Eutheria	MARNA	DNA	1	99.2	Mammalia
Eutheria	MER102a	DNA	1	99.2	Mammalia
Eutheria	MER102b	DNA	1	99.2	Mammalia
Eutheria	MER102c	DNA	1	99.2	Mammalia
Eutheria	MER103C	DNA	1	99.2	Mammalia
Eutheria	MER112	DNA	1	99.2	Mammalia
Eutheria	MER119	DNA	1	99.2	Mammalia
Simiiformes	MER1A	DNA	3	42.9	Primate
Simiiformes	MER1B	DNA	1	42.9	Primate
"Primates, Glires"	MER2	DNA	2	73.8	Primate
Eutheria	MER20	DNA	3	99.2	Mammalia
Eutheria	MER20B	DNA	1	99.2	Mammalia
Eutheria	MER3	DNA	2	99.2	Mammalia
Primates	MER44C	DNA	1	73.8	Primate
Primates	MER44D	DNA	2	73.8	Primate
Eutheria	MER45C	DNA	1	99.2	Mammalia
Eutheria	MER53	DNA	1	99.2	Mammalia
Eutheria	MER58A	DNA	1	99.2	Mammalia
Eutheria	MER58B	DNA	2	99.2	Mammalia
Eutheria	MER5A	DNA	4	99.2	Mammalia
Eutheria	MER5A1	DNA	3	99.2	Mammalia
Eutheria	MER5B	DNA	3	99.2	Mammalia
Eutheria	MER63A	DNA	1	99.2	Mammalia
Eutheria	MER81	DNA	1	99.2	Mammalia
Eutheria	MER94	DNA	1	99.2	Mammalia
Eutheria	MER96	DNA	1	99.2	Mammalia
Tetrapoda	OldhAT1	DNA	1	352	Amniota
"Metatheria, Xenarthra, Primates, Rodentia, Carnivora, Artiodactyla, Afrotheria"	Tigger1	DNA	2	160	Mammalia
Eutheria	Tigger11a	DNA	1	99.2	Mammalia
Eutheria	Tigger12	DNA	1	99.2	Mammalia
Eutheria	Tigger13a	DNA	1	99.2	Mammalia
Theria_mammals	Tigger14a	DNA	1	160	Mammalia
"Metatheria, Eutheria"	Tigger17	DNA	1	160	Mammalia
Theria_mammals	Tigger19a	DNA	1	160	Mammalia
Primates	Tigger2a	DNA	1	73.8	Primate
Primates	Tigger2b_Pri	DNA	1	73.8	Primate
Primates	Tigger3	DNA	1	73.8	Primate
Primates	Tigger4	DNA	1	73.8	Primate
Primates	Tigger7	DNA	1	73.8	Primate
Mammalia	UCON105	DNA	1	180.1	Mammalia
Amniota	UCON78	DNA	2	319	Amniota
Eutheria	Zaphod	DNA	1	99.2	Mammalia
Eutheria	Eutr16	DNA	1	99.2	Mammalia
Eutheria	HAL1	LINE	3	99.2	Mammalia
Eutheria	HAL1b	LINE	2	99.2	Mammalia
Eutheria	HAL1ME	LINE	2	99.2	Mammalia
Homo	L1HS	LINE	1	6.4	Homo
Primates	L1M1	LINE	2	73.8	Primate
Eutheria	L1M2	LINE	1	99.2	Mammalia
Eutheria	L1M4	LINE	4	99.2	Mammalia
Eutheria	L1M4c	LINE	1	99.2	Mammalia
"Metatheria, Eutheria"	L1M5	LINE	3	160	Mammalia
Eutheria	L1M6	LINE	2	99.2	Mammalia
Eutheria	L1M6B	LINE	1	99.2	Mammalia
Eutheria	L1M7	LINE	1	99.2	Mammalia
Primates	L1MA1	LINE	1	73.8	Primate
Eutheria	L1MA10	LINE	1	99.2	Mammalia
Primates	L1MA2	LINE	1	73.8	Primate
Primates	L1MA3	LINE	1	73.8	Primate
Euarchontoglires	L1MA4	LINE	1	87.2	Mammalia
Euarchontoglires	L1MA5	LINE	1	87.2	Mammalia
Euarchontoglires	L1MA6	LINE	2	87.2	Mammalia
Euarchontoglires	L1MA7	LINE	1	87.2	Mammalia
Eutheria	L1MB1	LINE	1	99.2	Mammalia
Eutheria	L1MB3	LINE	3	99.2	Mammalia
Eutheria	L1MB4	LINE	1	99.2	Mammalia
Eutheria	L1MB5	LINE	3	99.2	Mammalia
Eutheria	L1MB7	LINE	4	99.2	Mammalia
Eutheria	L1MB8	LINE	3	99.2	Mammalia
Eutheria	L1MC	LINE	3	99.2	Mammalia
Eutheria	L1MC1	LINE	1	99.2	Mammalia
Eutheria	L1MC2	LINE	4	99.2	Mammalia
Eutheria	L1MC3	LINE	2	99.2	Mammalia
Eutheria	L1MC4	LINE	8	99.2	Mammalia
Eutheria	L1MC4a	LINE	2	99.2	Mammalia
