TE	Count	Ratio	Type	log2Ratio
AluSc5	0	0	PC_Ho	0
AluSg	0	0	PC_Ho	0
AluSg7	0	0	PC_Ho	0
AluSp	0	0	PC_Ho	0
AluSz	0	0	PC_Ho	0
AluYk3	0	0	PC_Ho	0
ERVL-E-int	0	0	PC_Ho	0
HERVE-int	0	0	PC_Ho	0
L1MA5	0	0	PC_Ho	0
L1MC4	0	0	PC_Ho	0
L2	0	0	PC_Ho	0
L2b	0	0	PC_Ho	0
L2d	0	0	PC_Ho	0
L3	0	0	PC_Ho	0
L3b	0	0	PC_Ho	0
LFSINE_Vert	0	0	PC_Ho	0
LTR10C	0	0	PC_Ho	0
LTR12_	0	0	PC_Ho	0
LTR12C	0	0	PC_Ho	0
LTR12D	0	0	PC_Ho	0
LTR1A2	0	0	PC_Ho	0
LTR2B	0	0	PC_Ho	0
MamRTE1	0	0	PC_Ho	0
MARNA	0	0	PC_Ho	0
MER20B	0	0	PC_Ho	0
MER21A	0	0	PC_Ho	0
MER50	0	0	PC_Ho	0
MER51A	0	0	PC_Ho	0
MER52A	0	0	PC_Ho	0
MIR1_Amn	0	0	PC_Ho	0
MIR3	0	0	PC_Ho	0
MIRb	0	0	PC_Ho	0
MIRc	0	0	PC_Ho	0
MLT1A	0	0	PC_Ho	0
MLT1A1	0	0	PC_Ho	0
MLT1B	0	0	PC_Ho	0
MLT1E2	0	0	PC_Ho	0
MLT1F	0	0	PC_Ho	0
MLT1G1	0	0	PC_Ho	0
MLT1I	0	0	PC_Ho	0
MLT1K	0	0	PC_Ho	0
MLT1L	0	0	PC_Ho	0
MSTD	0	0	PC_Ho	0
THE1A	0	0	PC_Ho	0
THE1B	0	0	PC_Ho	0
THE1D	0	0	PC_Ho	0
Tigger15a	0	0	PC_Ho	0
Tigger2	0	0	PC_Ho	0
AluYj4	0	0	PC_HoCh	0
LFSINE_Vert	0	0	PC_HoCh	0
MamRTE1	0	0	PC_HoCh	0
Tigger15a	0	0	PC_HoCh	0
AluJo	0	0	PC_HoChMo	0
AluSc5	0	0	PC_HoChMo	0
AluSg	0	0	PC_HoChMo	0
AluSg7	0	0	PC_HoChMo	0
AluSp	0	0	PC_HoChMo	0
AluSx1	0	0	PC_HoChMo	0
AluSz	0	0	PC_HoChMo	0
AluYj4	0	0	PC_HoChMo	0
AluYk3	0	0	PC_HoChMo	0
AluYm1	0	0	PC_HoChMo	0
HERVE-int	0	0	PC_HoChMo	0
L1MA5	0	0	PC_HoChMo	0
L1PA2	0	0	PC_HoChMo	0
LTR10C	0	0	PC_HoChMo	0
LTR12_	0	0	PC_HoChMo	0
LTR12C	0	0	PC_HoChMo	0
LTR12D	0	0	PC_HoChMo	0
LTR1A2	0	0	PC_HoChMo	0
LTR2B	0	0	PC_HoChMo	0
MER21A	0	0	PC_HoChMo	0
MER50	0	0	PC_HoChMo	0
MER51A	0	0	PC_HoChMo	0
MER52A	0	0	PC_HoChMo	0
MLT1E2	0	0	PC_HoChMo	0
MSTD	0	0	PC_HoChMo	0
THE1A	0	0	PC_HoChMo	0
THE1B	0	0	PC_HoChMo	0
THE1D	0	0	PC_HoChMo	0
Tigger2	0	0	PC_HoChMo	0
AluJo	0	0	PC_HoChMoCk	0
AluSc5	0	0	PC_HoChMoCk	0
AluSg	0	0	PC_HoChMoCk	0
AluSg7	0	0	PC_HoChMoCk	0
AluSp	0	0	PC_HoChMoCk	0
AluSx1	0	0	PC_HoChMoCk	0
AluSz	0	0	PC_HoChMoCk	0
AluYj4	0	0	PC_HoChMoCk	0
AluYk3	0	0	PC_HoChMoCk	0
AluYm1	0	0	PC_HoChMoCk	0
ERVL-E-int	0	0	PC_HoChMoCk	0
HERVE-int	0	0	PC_HoChMoCk	0
L1MA5	0	0	PC_HoChMoCk	0
L1MC4	0	0	PC_HoChMoCk	0
L1PA2	0	0	PC_HoChMoCk	0
L2	0	0	PC_HoChMoCk	0
L2c	0	0	PC_HoChMoCk	0
L2d	0	0	PC_HoChMoCk	0
L3b	0	0	PC_HoChMoCk	0
LTR10C	0	0	PC_HoChMoCk	0
LTR12_	0	0	PC_HoChMoCk	0
LTR12C	0	0	PC_HoChMoCk	0
LTR12D	0	0	PC_HoChMoCk	0
LTR1A2	0	0	PC_HoChMoCk	0
LTR2B	0	0	PC_HoChMoCk	0
MamRTE1	0	0	PC_HoChMoCk	0
MARNA	0	0	PC_HoChMoCk	0
MER20B	0	0	PC_HoChMoCk	0
MER21A	0	0	PC_HoChMoCk	0
MER50	0	0	PC_HoChMoCk	0
MER51A	0	0	PC_HoChMoCk	0
MER52A	0	0	PC_HoChMoCk	0
MIR3	0	0	PC_HoChMoCk	0
MIRb	0	0	PC_HoChMoCk	0
MIRc	0	0	PC_HoChMoCk	0
MLT1A	0	0	PC_HoChMoCk	0
MLT1A0	0	0	PC_HoChMoCk	0
MLT1A1	0	0	PC_HoChMoCk	0
MLT1B	0	0	PC_HoChMoCk	0
MLT1E2	0	0	PC_HoChMoCk	0
MLT1F	0	0	PC_HoChMoCk	0
MLT1G1	0	0	PC_HoChMoCk	0
MLT1I	0	0	PC_HoChMoCk	0
MLT1K	0	0	PC_HoChMoCk	0
MLT1L	0	0	PC_HoChMoCk	0
MSTD	0	0	PC_HoChMoCk	0
THE1A	0	0	PC_HoChMoCk	0
THE1B	0	0	PC_HoChMoCk	0
THE1D	0	0	PC_HoChMoCk	0
Tigger15a	0	0	PC_HoChMoCk	0
Tigger2	0	0	PC_HoChMoCk	0
AluJo	0	0	lincRNA_Ho	0
AluSc5	0	0	lincRNA_Ho	0
AluSg	0	0	lincRNA_Ho	0
AluSg7	0	0	lincRNA_Ho	0
AluSp	0	0	lincRNA_Ho	0
AluSz	0	0	lincRNA_Ho	0
AluYj4	0	0	lincRNA_Ho	0
AluYk3	0	0	lincRNA_Ho	0
AluYm1	0	0	lincRNA_Ho	0
ERVL-E-int	0	0	lincRNA_Ho	0
HERVE-int	0	0	lincRNA_Ho	0
L1MA5	0	0	lincRNA_Ho	0
L1MC4	0	0	lincRNA_Ho	0
L2	0	0	lincRNA_Ho	0
L2a	0	0	lincRNA_Ho	0
L2b	0	0	lincRNA_Ho	0
L2c	0	0	lincRNA_Ho	0
L2d	0	0	lincRNA_Ho	0
L3	0	0	lincRNA_Ho	0
L3b	0	0	lincRNA_Ho	0
LFSINE_Vert	0	0	lincRNA_Ho	0
LTR10C	0	0	lincRNA_Ho	0
LTR12_	0	0	lincRNA_Ho	0
LTR12C	0	0	lincRNA_Ho	0
LTR12D	0	0	lincRNA_Ho	0
LTR1A2	0	0	lincRNA_Ho	0
LTR2B	0	0	lincRNA_Ho	0
MamRTE1	0	0	lincRNA_Ho	0
MARNA	0	0	lincRNA_Ho	0
MER20B	0	0	lincRNA_Ho	0
MER21A	0	0	lincRNA_Ho	0
MER50	0	0	lincRNA_Ho	0
MER51A	0	0	lincRNA_Ho	0
MER52A	0	0	lincRNA_Ho	0
MIR1_Amn	0	0	lincRNA_Ho	0
MIR3	0	0	lincRNA_Ho	0
MIRb	0	0	lincRNA_Ho	0
MIRc	0	0	lincRNA_Ho	0
MLT1A	0	0	lincRNA_Ho	0
MLT1A0	0	0	lincRNA_Ho	0
MLT1A1	0	0	lincRNA_Ho	0
MLT1B	0	0	lincRNA_Ho	0
MLT1E2	0	0	lincRNA_Ho	0
MLT1F	0	0	lincRNA_Ho	0
MLT1G1	0	0	lincRNA_Ho	0
MLT1I	0	0	lincRNA_Ho	0
MLT1K	0	0	lincRNA_Ho	0
MLT1L	0	0	lincRNA_Ho	0
MSTD	0	0	lincRNA_Ho	0
THE1A	0	0	lincRNA_Ho	0
THE1B	0	0	lincRNA_Ho	0
Tigger15a	0	0	lincRNA_Ho	0
Tigger2	0	0	lincRNA_Ho	0
AluSc5	0	0	lincRNA_HoCh	0
AluYj4	0	0	lincRNA_HoCh	0
AluYm1	0	0	lincRNA_HoCh	0
LFSINE_Vert	0	0	lincRNA_HoCh	0
LTR10C	0	0	lincRNA_HoCh	0
MamRTE1	0	0	lincRNA_HoCh	0
MARNA	0	0	lincRNA_HoCh	0
MER20B	0	0	lincRNA_HoCh	0
MER21A	0	0	lincRNA_HoCh	0
MLT1E2	0	0	lincRNA_HoCh	0
Tigger15a	0	0	lincRNA_HoCh	0
Tigger2	0	0	lincRNA_HoCh	0
AluJo	0	0	lincRNA_HoChMo	0
AluSc5	0	0	lincRNA_HoChMo	0
AluSg	0	0	lincRNA_HoChMo	0
AluSg7	0	0	lincRNA_HoChMo	0
AluSp	0	0	lincRNA_HoChMo	0
AluSx1	0	0	lincRNA_HoChMo	0
AluSz	0	0	lincRNA_HoChMo	0
AluYj4	0	0	lincRNA_HoChMo	0
AluYk3	0	0	lincRNA_HoChMo	0
AluYm1	0	0	lincRNA_HoChMo	0
HERVE-int	0	0	lincRNA_HoChMo	0
L1MA5	0	0	lincRNA_HoChMo	0
L1MC4	0	0	lincRNA_HoChMo	0
L1PA2	0	0	lincRNA_HoChMo	0
L3b	0	0	lincRNA_HoChMo	0
LFSINE_Vert	0	0	lincRNA_HoChMo	0
LTR10C	0	0	lincRNA_HoChMo	0
LTR12_	0	0	lincRNA_HoChMo	0
LTR12C	0	0	lincRNA_HoChMo	0
LTR12D	0	0	lincRNA_HoChMo	0
LTR1A2	0	0	lincRNA_HoChMo	0
LTR2B	0	0	lincRNA_HoChMo	0
MamRTE1	0	0	lincRNA_HoChMo	0
MER21A	0	0	lincRNA_HoChMo	0
MER50	0	0	lincRNA_HoChMo	0
MER51A	0	0	lincRNA_HoChMo	0
MER52A	0	0	lincRNA_HoChMo	0
MIR1_Amn	0	0	lincRNA_HoChMo	0
MSTD	0	0	lincRNA_HoChMo	0
THE1A	0	0	lincRNA_HoChMo	0
THE1B	0	0	lincRNA_HoChMo	0
THE1D	0	0	lincRNA_HoChMo	0
Tigger15a	0	0	lincRNA_HoChMo	0
Tigger2	0	0	lincRNA_HoChMo	0
AluJo	0	0	lincRNA_HoChMoCk	0
AluSc5	0	0	lincRNA_HoChMoCk	0
AluSg	0	0	lincRNA_HoChMoCk	0
AluSg7	0	0	lincRNA_HoChMoCk	0
AluSp	0	0	lincRNA_HoChMoCk	0
AluSx1	0	0	lincRNA_HoChMoCk	0
AluSz	0	0	lincRNA_HoChMoCk	0
AluYj4	0	0	lincRNA_HoChMoCk	0
AluYk3	0	0	lincRNA_HoChMoCk	0
AluYm1	0	0	lincRNA_HoChMoCk	0
ERVL-E-int	0	0	lincRNA_HoChMoCk	0
HERVE-int	0	0	lincRNA_HoChMoCk	0
L1MA5	0	0	lincRNA_HoChMoCk	0
L1MC4	0	0	lincRNA_HoChMoCk	0
L1PA2	0	0	lincRNA_HoChMoCk	0
L2	0	0	lincRNA_HoChMoCk	0
L2a	0	0	lincRNA_HoChMoCk	0
L2b	0	0	lincRNA_HoChMoCk	0
L2c	0	0	lincRNA_HoChMoCk	0
L2d	0	0	lincRNA_HoChMoCk	0
L3	0	0	lincRNA_HoChMoCk	0
L3b	0	0	lincRNA_HoChMoCk	0
LFSINE_Vert	0	0	lincRNA_HoChMoCk	0
LTR10C	0	0	lincRNA_HoChMoCk	0
LTR12_	0	0	lincRNA_HoChMoCk	0
LTR12C	0	0	lincRNA_HoChMoCk	0
LTR12D	0	0	lincRNA_HoChMoCk	0
LTR1A2	0	0	lincRNA_HoChMoCk	0
LTR2B	0	0	lincRNA_HoChMoCk	0
MamRTE1	0	0	lincRNA_HoChMoCk	0
MARNA	0	0	lincRNA_HoChMoCk	0
MER20B	0	0	lincRNA_HoChMoCk	0
MER21A	0	0	lincRNA_HoChMoCk	0
MER50	0	0	lincRNA_HoChMoCk	0
MER51A	0	0	lincRNA_HoChMoCk	0
MER52A	0	0	lincRNA_HoChMoCk	0
MIR1_Amn	0	0	lincRNA_HoChMoCk	0
MIR3	0	0	lincRNA_HoChMoCk	0
MIRb	0	0	lincRNA_HoChMoCk	0
MIRc	0	0	lincRNA_HoChMoCk	0
MLT1A	0	0	lincRNA_HoChMoCk	0
MLT1A0	0	0	lincRNA_HoChMoCk	0
MLT1A1	0	0	lincRNA_HoChMoCk	0
MLT1B	0	0	lincRNA_HoChMoCk	0
MLT1E2	0	0	lincRNA_HoChMoCk	0
MLT1F	0	0	lincRNA_HoChMoCk	0
MLT1G1	0	0	lincRNA_HoChMoCk	0
MLT1I	0	0	lincRNA_HoChMoCk	0
MLT1K	0	0	lincRNA_HoChMoCk	0
MLT1L	0	0	lincRNA_HoChMoCk	0
MSTD	0	0	lincRNA_HoChMoCk	0
THE1A	0	0	lincRNA_HoChMoCk	0
THE1B	0	0	lincRNA_HoChMoCk	0
THE1D	0	0	lincRNA_HoChMoCk	0
Tigger15a	0	0	lincRNA_HoChMoCk	0
Tigger2	0	0	lincRNA_HoChMoCk	0
AluYj4	5	164.2192524	PC_Ho	2
AluYm1	1	19.78783483	PC_Ho	2
L1PA2	3	56.1248591	PC_Ho	2
MLT1A0	1	4.494275978	PC_Ho	2
HERVE-int	6	37.9370143	PC_HoCh	2
LTR10C	5	16.65758628	PC_HoCh	2
LTR12_	5	16.11924798	PC_HoCh	2
LTR12C	21	13.55966286	PC_HoCh	2
LTR12D	6	21.46228561	PC_HoCh	2
LTR2B	6	30.4353477	PC_HoCh	2
MER21A	5	4.354238009	PC_HoCh	2
MER51A	4	7.521196084	PC_HoCh	2
MER52A	5	6.128617581	PC_HoCh	2
LFSINE_Vert	4	5.309734509	PC_HoChMo	2
MARNA	5	4.854481481	PC_HoChMo	2
MLT1F	6	4.208907591	PC_HoChMo	2
L2a	10	6.394878826	PC_HoChMoCk	2
L2b	11	12.76335915	PC_HoChMoCk	2
LFSINE_Vert	5	233.2059531	PC_HoChMoCk	2
MIR1_Amn	4	36.0808491	PC_HoChMoCk	2
L1PA2	1	51.96746213	lincRNA_Ho	2
THE1D	1	20.54592157	lincRNA_Ho	2
HERVE-int	11	244.4384932	lincRNA_HoCh	2
LTR12_	4	45.32103073	lincRNA_HoCh	2
LTR12C	17	38.57833971	lincRNA_HoCh	2
LTR12D	8	100.5726102	lincRNA_HoCh	2
LTR1A2	8	59.32730196	lincRNA_HoCh	2
LTR2B	1	17.82756514	lincRNA_HoCh	2
MER50	5	12.17862022	lincRNA_HoCh	2
MER51A	6	39.64999941	lincRNA_HoCh	2
MER52A	1	4.307819851	lincRNA_HoCh	2
MLT1A1	5	4.564557584	lincRNA_HoCh	2
MLT1G1	5	8.574671404	lincRNA_HoCh	2
THE1A	8	11.71951327	lincRNA_HoCh	2
MARNA	1	6.387258186	lincRNA_HoChMo	2
MER20B	1	4.800990079	lincRNA_HoChMo	2
MLT1E2	1	4.975846619	lincRNA_HoChMo	2
MLT1F	3	13.84461944	lincRNA_HoChMo	2
MLT1G1	5	27.65787627	lincRNA_HoChMo	2
MLT1I	3	5.419649563	lincRNA_HoChMo	2
MLT1K	4	4.523851586	lincRNA_HoChMo	2
MamRTE1	11	3.770129716	PC_HoChMo	1.914614162
MER50	5	3.465238035	PC_HoCh	1.792954458
ERVL-E-int	5	3.460335499	lincRNA_HoCh	1.790911922
THE1D	7	3.415285116	lincRNA_HoCh	1.772006023
MLT1A	5	3.38825173	lincRNA_HoCh	1.760541064
MLT1B	3	3.375074872	lincRNA_HoChMo	1.754919507
AluYm1	9	3.342539668	PC_HoCh	1.740944682
THE1A	8	3.334606253	PC_HoCh	1.737516419
L2b	15	3.258729996	lincRNA_HoChMo	1.704309822
MIRc	108	3.241181213	PC_HoChMo	1.696519684
MSTD	4	3.23100468	lincRNA_HoCh	1.69198284
Tigger2	5	3.166992403	PC_HoCh	1.663113407
Tigger15a	5	3.162558649	PC_HoChMo	1.661092235
MLT1L	6	3.091587338	lincRNA_HoCh	1.628347763
L2b	93	3.071131698	PC_HoChMo	1.61877038
THE1B	11	3.02829101	lincRNA_HoCh	1.598503851
MIR3	87	2.998235301	PC_HoChMo	1.58411361
MLT1A1	1	2.944625233	lincRNA_HoChMo	1.558084032
L2d	4	2.870304608	lincRNA_HoChMo	1.52120385
L3b	9	2.829242472	PC_HoChMo	1.500415824
MIR1_Amn	11	2.823921566	PC_HoChMo	1.497700019
MIRb	208	2.812264153	PC_HoChMo	1.491732111
MLT1I	5	2.800390605	lincRNA_HoCh	1.485628072
L2c	113	2.704343617	PC_HoChMo	1.435278474
AluSg	66	2.669683475	PC_HoCh	1.416668702
MLT1A0	9	2.668105792	lincRNA_HoCh	1.415815871
MIRb	29	2.579481404	lincRNA_HoChMo	1.367081046
L1PA2	2	2.468111658	lincRNA_HoCh	1.303407664
L1PA2	7	2.457920506	PC_HoCh	1.297438257
MLT1K	7	2.45439837	lincRNA_HoCh	1.29536943
L2d	22	2.399656343	PC_HoChMo	1.262827811
AluSx1	1	2.395521016	lincRNA_Ho	1.26033947
AluSg7	8	2.38194058	PC_HoCh	1.252137424
L3	1	2.357751077	PC_HoChMoCk	1.237411412
L1MA5	6	2.34169079	PC_HoCh	1.227550587
MSTD	10	2.298331031	PC_HoCh	1.200586606
MIR3	10	2.26719089	lincRNA_HoChMo	1.180905867
AluSp	84	2.243372024	PC_HoCh	1.165668886
ERVL-E-int	1	2.232284518	lincRNA_HoChMo	1.158520919
L2	6	2.214355466	lincRNA_HoChMo	1.146886834
MLT1E2	5	2.194677093	PC_HoCh	1.134008689
MLT1A	1	2.185782818	lincRNA_HoChMo	1.12815006
MIRc	11	2.171770202	lincRNA_HoChMo	1.118871457
AluSx1	132	2.136545771	PC_HoCh	1.095280224
MER20B	5	2.117553808	PC_HoCh	1.082398629
LTR1A2	1	2.110083281	PC_HoCh	1.077299941
AluSc5	5	2.108106664	PC_HoCh	1.075947865
AluSg7	2	2.092839613	lincRNA_HoCh	1.065461753
MLT1B	6	2.092724525	lincRNA_HoCh	1.065382415
