Ensembl	Pvalue	FDR	Male	Female	Tissue	logFC	Type	Gene
ENST00000307503.3	7.69683301043449e-10	2.05190570937265e-07	0.082876404494382	0.178623853211009	Adipose_Subcutaneous	-1.10789142936779	protein_coding	AGXT
ENST00000392473.2	1.24770771166993e-05	0.000552572879387437	0.133573033707865	0.0743119266055046	Adipose_Subcutaneous	0.845963101689775	protein_coding	CAMKK2
ENST00000395347.1	1.80362094669064e-09	3.7779417329788e-07	0.43676404494382	0.268761467889908	Adipose_Subcutaneous	0.700527781432502	protein_coding	SLC16A9
ENST00000417303.6	1.10783704533496e-07	1.35363838976866e-05	0.848988764044944	1.33821100917431	Adipose_Subcutaneous	-0.656488252490176	protein_coding	PLA2G6
ENST00000427674.6	0.000239941480511191	0.00512908517485677	0.287505617977528	0.181834862385321	Adipose_Subcutaneous	0.660961319662227	protein_coding	SEPT9
ENST00000436077.1	1.43724257920501e-18	8.42942772703737e-16	0.0317752808988764	0.123990825688073	Adipose_Subcutaneous	-1.96425659280213	lincRNA	RP11-20F24.2
ENST00000441439.6	1.36978237192372e-07	1.60675472226652e-05	0.428539325842697	0.764311926605505	Adipose_Subcutaneous	-0.834733940416718	protein_coding	LMO3
ENST00000455015.5	6.00666412690105e-06	0.000311761815082077	2.0405393258427	3.135	Adipose_Subcutaneous	-0.619514928142389	protein_coding	CIDEC
ENST00000457437.1	6.57417951389312e-07	5.7548601267139e-05	0.0775056179775281	0.140550458715596	Adipose_Subcutaneous	-0.858715369540937	protein_coding	AIM1
ENST00000462545.5	2.639578645655e-05	0.000927013698009974	0.257191011235955	0.166192660550459	Adipose_Subcutaneous	0.629983550912928	protein_coding	SPEG
ENST00000471076.1	4.62840492894851e-08	6.21085141700831e-06	0.357730337078652	0.181100917431193	Adipose_Subcutaneous	0.982078615503712	protein_coding	WNK2
ENST00000480467.5	8.71215259561551e-06	0.000415420934742154	0.188696629213483	0.340504587155963	Adipose_Subcutaneous	-0.851605582286697	protein_coding	CDK5RAP2
ENST00000496110.1	2.40672382138562e-06	0.000153428643613333	2.48685393258427	3.88678899082569	Adipose_Subcutaneous	-0.64425701543589	protein_coding	MARC1
ENST00000512067.5	2.34999522526908e-06	0.00015145848347476	0.132292134831461	0.0869724770642201	Adipose_Subcutaneous	0.605096462337657	lincRNA	LINC01021
ENST00000517663.5	1.66859809502328e-06	0.000122329097841395	0.374404494382023	0.232201834862385	Adipose_Subcutaneous	0.689218380807555	protein_coding	C8orf22
ENST00000519209.5	2.85147351453798e-08	4.40102425335928e-06	0.558134831460674	0.91394495412844	Adipose_Subcutaneous	-0.711493592695583	protein_coding	SCIN
ENST00000519697.1	1.62175898331986e-05	0.00065695777031877	0.431797752808989	0.231330275229358	Adipose_Subcutaneous	0.900401644916009	protein_coding	SBSPON
ENST00000528728.1	0.000516019140136093	0.00931216079045595	0.361550561797753	0.219495412844036	Adipose_Subcutaneous	0.720006628294537	protein_coding	CCDC81
ENST00000542755.1	2.6366255227623e-10	8.13884667947414e-08	0.0742471910112359	0.12954128440367	Adipose_Subcutaneous	-0.80300360292857	protein_coding	NLRP2
ENST00000544899.1	0.000407113934861816	0.0079141777283574	1.33143820224719	2.81518348623853	Adipose_Subcutaneous	-1.08024348798668	protein_coding	PGA4
ENST00000548336.1	9.84318805082411e-10	2.51001295296015e-07	5.14775280898877	3.27151376146789	Adipose_Subcutaneous	0.653984438808055	protein_coding	C12orf75
ENST00000549832.1	9.15956819885631e-06	0.000429766939890338	0.766022471910112	0.473990825688074	Adipose_Subcutaneous	0.692527580073923	protein_coding	ERBB3
ENST00000555928.5	3.51895829107387e-05	0.00115947698748024	0.922898876404494	0.612798165137615	Adipose_Subcutaneous	0.590760600488074	lincRNA	MEG3
ENST00000564430.1	1.04153647844268e-05	0.000473535771012894	0.0792808988764045	0.12545871559633	Adipose_Subcutaneous	-0.662167473199232	protein_coding	ADAD2
ENST00000567019.1	1.06537220227368e-10	3.67553409784419e-08	0.239280898876404	0.505596330275229	Adipose_Subcutaneous	-1.07928075699745	protein_coding	EPB42
ENST00000571910.1	1.98522350455049e-05	0.000766008937775568	0.189775280898876	0.121376146788991	Adipose_Subcutaneous	0.644807160333237	protein_coding	MYH11
ENST00000573908.1	4.65946227362942e-08	6.21085141700831e-06	44.0343595505618	26.949128440367	Adipose_Subcutaneous	0.708391067389353	protein_coding	MYH11
ENST00000577621.1	2.87645016061329e-06	0.000170407880727242	0.122179775280899	0.0745871559633027	Adipose_Subcutaneous	0.71200636964624	lincRNA	RP1-56K13.5
ENST00000585620.1	1.070847771088e-05	0.000483117090571623	0.413820224719101	0.269678899082569	Adipose_Subcutaneous	0.617761513152008	lincRNA	CTC-296K1.3
ENST00000585798.1	2.42590634905829e-05	0.000883723027156949	0.12161797752809	0.0810550458715595	Adipose_Subcutaneous	0.585382598348089	lincRNA	RP11-13K12.5
ENST00000588548.1	1.25757730588326e-14	5.26835064214664e-12	0.208314606741573	0.324587155963303	Adipose_Subcutaneous	-0.6398419102544	lincRNA	AC005301.9
ENST00000589419.1	2.23242557455661e-05	0.000831515055747863	0.164921348314607	0.261422018348624	Adipose_Subcutaneous	-0.664602496536085	protein_coding	CCBE1
ENST00000590333.5	5.7433890258327e-09	1.1615509185003e-06	0.57391011235955	0.35348623853211	Adipose_Subcutaneous	0.6991707440798	protein_coding	BRSK1
ENST00000605281.1	5.14055661978896e-06	0.000276115064479303	0.423101123595505	0.639036697247707	Adipose_Subcutaneous	-0.594896264642143	lincRNA	RP3-483K16.4
ENST00000608890.1	8.98378952269609e-07	7.40700568712914e-05	0.157797752808989	0.0956880733944955	Adipose_Subcutaneous	0.721665637284154	lincRNA	RP11-535A5.1
ENST00000611276.4	3.29303377289784e-06	0.000193136430780458	0.51523595505618	0.30440366972477	Adipose_Subcutaneous	0.75924752222945	protein_coding	TGM5
ENST00000612521.1	1.09600597780004e-07	1.35363838976866e-05	0.133595505617978	0.088394495412844	Adipose_Subcutaneous	0.595843037260464	protein_coding	ZSCAN4
ENST00000619533.1	1.9134422000918e-06	0.000130492308180679	0.210112359550562	0.132706422018349	Adipose_Subcutaneous	0.662922840655927	protein_coding	CNTNAP4
ENST00000449713.1	7.47851178424893e-10	3.65512263455166e-07	0.152183288409704	0.239882352941176	Adipose_Visceral_Omentum	-0.656517087050005	lincRNA	AP001065.15
ENST00000455015.5	5.44283803784941e-06	0.00212814967279912	1.3633423180593	2.31805882352941	Adipose_Visceral_Omentum	-0.765769326774899	protein_coding	CIDEC
ENST00000545137.5	1.68554106408731e-09	7.60438333913236e-07	0.0627762803234501	0.126411764705882	Adipose_Visceral_Omentum	-1.00983928370002	protein_coding	STRA6
ENST00000608373.1	2.58766737955024e-11	1.37969719827838e-08	0.171266846361186	0.102294117647059	Adipose_Visceral_Omentum	0.743522716923804	lincRNA	AC006946.16
